species,flag_ID,flag_color,tag_color,colony_ID,fragment_num,species_code,Transplant_site,Collection_site,PAM_position_sequence,treatment,transplant_envir,home_envir,avg_FvFm,FvFm1,FvFm2,FvFm3
SSID,1,purple,lightblue,1,4,SSID14,NS,NS,random,NS Native,Nearshore,Nearshore coral,0.5223259094333335,0.4899817851000001,0.5276243094,0.5493716338000001
SSID,2,green,lightblue,1,5,SSID15,NS,NS,random,NS Native,Nearshore,Nearshore coral,0.5717329708000001,0.4750957854,0.5694444444000001,0.6706586826000001
SSID,3,orange,green,2,na,na,NS,NS,random,NS Native,Nearshore,Nearshore coral,0.5790602692666666,0.6430013458999999,0.5943789035,0.4998005584
SSID,4,neon,orange,3,4,SSID24,NS,NS,random,NS Native,Nearshore,Nearshore coral,0.5693213646,0.5161290323000002,0.5507692308000001,0.6410658307
SSID,5,red,orange,3,6,SSID36,NS,NS,random,NS Native,Nearshore,Nearshore coral,0.5435250261,0.5048143053999999,0.5519785379000001,0.573782235
SSID,6,pink,red,4,2,SSID42,NS,NS,random,NS Native,Nearshore,Nearshore coral,0.5460790148000001,0.5851946394,0.5655496767000001,0.48749272830000007
SSID,9,black,white,5,5,SSID55,NS,NS,random,NS Native,Nearshore,Nearshore coral,0.5912717788999999,0.5936343448999999,0.5731497418,0.60703125
SSID,10,white,white,5,4,SSID54,NS,NS,random,NS Native,Nearshore,Nearshore coral,0.6062654219333333,0.7344322343999999,0.5440414508000001,0.5403225805999999
SSID,13,orange,pink,6,23,SSID623,NS,OS,random,Transplant to NS,Nearshore,Offshore coral,0.6429652281,0.7064380685999999,0.5708182714000001,0.6516393443
SSID,24,neon,light blue,1,25,SSID125,NS,OS,random,Transplant to NS,Nearshore,Offshore coral,0.5758860914333335,0.5671708185000002,0.5928948632000001,0.5675925926000001
SSID,16,pink,light blue,1,23,SSID123,NS,OS,random,Transplant to NS,Nearshore,Offshore coral,0.5731001620333334,0.5688824663000001,0.5849952517,0.5654227680999999
SSID,15,red,pink,6,24,SSID624,NS,OS,random,Transplant to NS,Nearshore,Offshore coral,0.5491504496333333,0.5893271461999999,0.5297383029,0.5283858998
SSID,17,yellow,white,5,24,SSID524,NS,OS,random,Transplant to NS,Nearshore,Offshore coral,0.5507481941666668,0.516642547,0.5578747628,0.5777272727000001
SSID,11,purple,red,4,23,SSID423,NS,OS,random,Transplant to NS,Nearshore,Offshore coral,0.5651908182666667,0.5614325068999999,0.5349887133000001,0.5991512346000001
PSTR,39,black,white,5,5,PSTR55,NS,NS,random,NS Native,Nearshore,Nearshore coral,0.47796224153333333,0.4817813765,0.4980237154,0.4540816327
PSTR,32,green,orange,3,5,PSTR35,NS,NS,"top, top, bottom",NS Native,Nearshore,Nearshore coral,0.4665992405,0.4454148472000001,0.44843049330000007,0.5059523809999998
PSTR,35,red,red,4,3,PSTR43,NS,NS,top = 0,NS Native,Nearshore,Nearshore coral,0.4962575866,0.4928571429,0.43971631210000006,0.5561993048
PSTR,33,orange,orange,3,4,PSTR34,NS,NS,"rim, side, bottom",NS Native,Nearshore,Nearshore coral,0.4178471610333333,0.5523560208999999,0.22994652410000002,0.4712389381
PSTR,31,purple,orange,3,6,PSTR36,NS,NS,"rim, bottom, rim",NS Native,Nearshore,Nearshore coral,0.5415958487000001,0.5344827585999999,0.5586592179000002,0.5316455696000001
PSTR,29,black,green,2,5,PSTR25,NS,NS,"rim, rim, bottom",NS Native,Nearshore,Nearshore coral,0.4496310577,0.4065934066,0.44827586210000003,0.4940239044
PSTR,27,yellow,light blue,1,4,PSTR14,NS,NS,"rim, bottom, bottom",NS Native,Nearshore,Nearshore coral,0.46061697923333333,0.4522821577,0.4504504505,0.47911832950000005
PSTR,25,red,light blue,1,6,PSTR16,NS,NS,"rim, bottom, bottom",NS Native,Nearshore,Nearshore coral,0.40465813406666673,0.30909090910000003,0.37908496730000013,0.5257985258
PSTR,26,pink,light blue,1,5,PSTR15,NS,NS,"rim, bottom, bottom",NS Native,Nearshore,Nearshore coral,0.4709646412666667,0.495412844,0.4536082474,0.46387283240000005
PSTR,43,orange,pink,6,4,PSTR64,NS,NS,"rim, side, bottom",NS Native,Nearshore,Nearshore coral,0.4136644710000001,0.4009661836000001,0.40412979350000006,0.4358974359000001
PSTR,42,green,pink,6,5,PSTR65,NS,NS,"top, rim, side",NS Native,Nearshore,Nearshore coral,0.46488411223333337,0.4757869249000001,0.39942528740000005,0.5194401244
PSTR,38,blue,white,5,6,PSTR56,NS,NS,"rim, bottom, rim",NS Native,Nearshore,Nearshore coral,0.4955349978333334,0.4562211982,0.45895522390000004,0.5714285714
PSTR,47,yellow,pink,6,25,PSTR625,NS,OS,"top, rim, bottom",Transplant to NS,Nearshore,Offshore coral,0.40451443853333335,0.46428571430000004,0.34051724139999995,0.4087403599
PSTR,41,purple,pink,6,6,PSTR66,NS,NS,"top, rim, bottom",NS Native,Nearshore,Nearshore coral,0.45699579030000004,0.5230769231,0.43000000000000005,0.4179104478000001
PSTR,40,white,white,5,4,PSTR54,NS,NS,"rim, top, bottom",NS Native,Nearshore,Nearshore coral,0.5291464318,0.5012886597999999,0.5761904762000002,0.5099601594
PSTR,34,neon,red,4,5,PSTR45,NS,NS,"rim, side, bottom; top = 0",NS Native,Nearshore,Nearshore coral,0.4226551226666667,0.4,0.45238095240000004,0.4155844156000001
PSTR,36,pink,red,4,4,PSTR44,NS,NS,"rim, bottom, bottom; top = 0",NS Native,Nearshore,Nearshore coral,0.5067460317333334,0.42500000000000004,0.8095238095,0.28571428570000007
PSTR,37,yellow,red,4,2,PSTR42,NS,NS,"side, bottom, rim; top = 0",NS Native,Nearshore,Nearshore coral,0.04231884058,0.08695652174000001,0.04,0
