sample_ID,meanabsor,sd,n,se,meanvol,m,b,dilution,calc_conc_mg_ml,final_carb_mg,Material,ash_free_dry_weight_g,dry_weight_volume_ml,total_volume_ml,total_dry_weight_g,carb_mg_mg,treatment,species
PSTR110_1,0.31966666666666665,0.007767453465154036,3,0.004484541349024574,20,0.867211299501937,-0.21129861675239633,0.1,0.06591992865505616,0.13183985731011233,tissue,0.0118,18.8,20,0.012553191489999999,0.010502497107220687,Transplant to OS,PSTR
PSTR117_1,0.5126666666666667,0.00838649708360609,3,0.004841946348777988,20,0.8097568480950466,-0.19105530802129617,0.1,0.22408003610209776,0.4481600722041955,tissue,0.0225,18.8,20,0.02393617021,0.018723131907583287,OS Native,PSTR
PSTR14_1,0.359,0.014177446878757837,3,0.008185352771872456,20,0.8097568480950466,-0.19105530802129617,0.1,0.09964740044482556,0.19929480088965112,tissue,0.030799999999999998,18.8,20,0.032765957449999994,0.006082373792793018,NS Native,PSTR
PSTR318_1,0.34299999999999997,0.0017320508075688787,3,0.0010000000000000009,20,0.8097568480950466,-0.19105530802129617,0.1,0.0866912908753048,0.1733825817506096,tissue,0.0063,18.8,20,0.00670212766,0.025869782037337318,OS Native,PSTR
PSTR34_3,0.5726666666666667,0.009451631252505182,3,0.005456901847914947,10,0.8097568480950466,-0.19105530802129617,0.1,0.2726654469878005,0.2726654469878005,tissue,0.0322,8.8,10,0.03659090909,0.0074517265017150875,NS Native,PSTR
PSTR43_1,0.4146666666666667,0.011503622617824942,3,0.006641619615057098,20,0.8097568480950466,-0.19105530802129617,0.1,0.14472386498878315,0.2894477299775663,tissue,0.0413,18.8,20,0.04393617021000001,0.006587914435739488,NS Native,PSTR
PSTR510_1,0.383,0.005291502622129186,3,0.0030550504633038962,20,0.8097568480950466,-0.19105530802129617,0.1,0.11908156479910664,0.23816312959821329,tissue,0.0177,18.8,20,0.018829787229999995,0.012648211405106427,Transplant to OS,PSTR
PSTR519_1,0.556,0.014933184523068093,3,0.008621678104251717,15,0.8097568480950466,-0.19105530802129617,0.1,0.25916949951954976,0.38875424927932467,tissue,0.022699999999999998,13.8,15,0.024673913040000002,0.015755678827638626,OS Native,PSTR
PSTR55_1,0.38733333333333336,0.008736894948054113,3,0.005044248650140524,14,0.8097568480950466,-0.19105530802129617,0.1,0.1225905111408519,0.17162671559719267,tissue,0.020900000000000002,12.8,14,0.022859375,0.0075079356105402124,NS Native,PSTR
PSTR57_1,0.48333333333333334,0.02569695182961071,3,0.01483614205617859,15,0.8097568480950466,-0.19105530802129617,0.1,0.20032716855797633,0.30049075283696447,tissue,0.021,13.8,15,0.02282608696,0.013164356788946733,Transplant to OS,PSTR
