sample_ID,plate_number,n,meanvol,blank,pathlength,632,665,chla_ugml,chlc2_ugml,standard_area_cm2,avg_standard_area_pixels,avg_sa_fragment_pixels,sample_area_cm2,chla_ug_cm2,chlc2_ug_cm2,treatment,species,transplant_envir,home_envir
PSTR110_2,5,3,5,0.07475,0.6493,0.039401406643051515,0.03170080599620105,0.29768655988500453,1.0754186174854978,4.237,56810.66667,24502,1.827385245,0.16290301166626991,0.5885013137913881,Transplant to OS,PSTR,Offshore,Nearshore coral
PSTR117_2,5,3,5,0.07475,0.6493,0.027593818984547457,0.022460085219980497,0.2120246162534012,0.7513253375429949,4.237,56597.33333,32765.33333,2.452884423,0.08643889384485735,0.30630278805557687,OS Native,PSTR,Offshore,Offshore coral
PSTR14_3,5,3,5,0.07475,0.6493,0.003978643667539434,8.98403408799249e-4,-0.0014520509266386546,0.12474358283279516,4.237,55576.66667,15685,1.195777814,0,0.10432003451838183,NS Native,PSTR,Nearshore,Nearshore coral
PSTR318_3,5,3,5,0.07475,0.6493,0.008085630679192985,0.004492017043996117,0.03353614148570278,0.23481021869705854,4.237,53628,26056.66667,2.058665187,0.01629023587588494,0.11405944987064016,OS Native,PSTR,Offshore,Offshore coral
PSTR34_2,5,3,5,0.07475,0.6493,0.008085630679192985,0.005005390420452821,0.040561604805175136,0.2312094178345912,4.237,55982.66667,47643.33333,3.605844726,0.011248849544936044,0.06412073602821887,NS Native,PSTR,Nearshore,Nearshore coral
PSTR43_2,5,3,5,0.07475,0.6493,0.012192617690846556,0.007572257302736301,0.061498870578572076,0.3484776554237897,4.237,55950.66667,27895,2.112416563,0.029113041270246883,0.1649663525308146,NS Native,PSTR,Nearshore,Nearshore coral
PSTR510_2,5,3,5,0.07475,0.6493,0.05172236767801223,0.04350839365470509,0.4167020637609737,1.3984169233533552,4.237,55965.66667,28437.66667,2.152934126,0.19355077274713314,0.6495400423381813,Transplant to OS,PSTR,Offshore,Nearshore coral
PSTR519_2,5,3,5,0.07475,0.6493,0.015272857949586742,0.011679244314389874,0.10706003901637684,0.42112542995020297,4.237,57705.33333,40090,2.943598454,0.03637046312172606,0.1430648359588393,OS Native,PSTR,Offshore,Offshore coral
PSTR55_2,5,3,5,0.07475,0.6493,0.004492017043996117,8.98403408799249e-4,-0.0032258072796341394,0.14165261307048657,4.237,56627,30753.66667,2.301080503,0,0.061559173130105206,NS Native,PSTR,Nearshore,Nearshore coral
PSTR57_3,5,3,5,0.07475,0.6493,0.0399147800195082,0.03272755274911444,0.3099637301709534,1.0851260459982548,4.237,54735,27838,2.154921093,0.14383994438489325,0.5035572065831808,Transplant to OS,PSTR,Offshore,Nearshore coral
PSTR625_2,5,3,5,0.07475,0.6493,0.011165870937933168,0.00757225730273628,0.06504638328456284,0.3146595949484063,4.237,54892.66667,21936.66667,1.693225385,0.038415667436123895,0.18583444220475484,Transplant to NS,PSTR,Nearshore,Offshore coral
PSTR64_2,5,3,5,0.07475,0.6493,0.02143333846706709,0.01629960470250015,0.1490041326556808,0.5916265850402994,4.237,55796,32717.33333,2.484467369,0.05997427638409881,0.23813014911056352,NS Native,PSTR,Nearshore,Nearshore coral
PSTR68_3,5,3,5,0.07475,0.6493,0.030674059243287644,0.02400020534935059,0.22245846809384479,0.8419771163817444,4.237,53300,24731,1.965952101,0.11315558908108148,0.4282795679271458,Transplant to OS,PSTR,Offshore,Nearshore coral
SSID118_3,5,3,5,0.07475,0.6493,0.009625750808563076,0.006545510549822892,0.05631672570460502,0.27113410596026516,4.237,55709.33333,19120,1.454180748,0.038727459280464234,0.1864514478913079,OS Native,SSID,Offshore,Offshore coral
SSID123_2,5,3,5,0.07475,0.6493,0.03016068586683096,0.025540325478720684,0.24530861440525706,0.8142656835566512,4.237,55664,30867.66667,2.349567111,0.10440587683441449,0.3465598746869126,Transplant to NS,SSID,Nearshore,Offshore coral
SSID15_3,5,3,5,0.07475,0.6493,0.005518763796909504,0.0019251501617126368,0.007277606653319238,0.1682690718209356,4.237,56853,18716.33333,1.394844675,0.005217503270261427,0.12063642270486898,NS Native,SSID,Nearshore,Nearshore coral
SSID418_2,5,3,5,0.07475,0.6493,0.03016068586683096,0.02656707223163407,0.25935954104420145,0.8070640818317167,4.237,54004,26612.33333,2.087927863,0.12421863113199014,0.38653829767475867,OS Native,SSID,Offshore,Offshore coral
SSID42_3,5,3,5,0.07475,0.6493,0.010652497561476485,0.008085630679192985,0.07384560295703067,0.2941497638482476,4.237,56368,28210.33333,2.120479391,0.034824956691611945,0.13871852048961866,NS Native,SSID,Nearshore,Nearshore coral
SSID423_3,5,3,5,0.07475,0.6493,0.025540325478720684,0.0204065917141537,0.19101778838749417,0.6980924200420969,4.237,55944,32427,2.455905888,0.07777895289914878,0.28425047696375605,Transplant to NS,SSID,Nearshore,Offshore coral
SSID517_2,5,3,5,0.07475,0.6493,0.016812978078956833,0.013219364443759965,0.122815159915807,0.4610501180758767,4.237,55338.33333,28690,2.196660482,0.055909941896886646,0.20988683588285023,OS Native,SSID,Offshore,Offshore coral
SSID518_3,5,3,5,0.07475,0.6493,0.01886647158478363,0.014246111196673353,0.12977106114276926,0.52148463730171,4.237,57986.66667,28233.33333,2.062967924,0.06290503096681656,0.25278368666565365,OS Native,SSID,Offshore,Offshore coral
SSID524_3,6,3,5,0.074909,0.6445,0.012036720972329966,0.00841634341867081,0.0735887434186709,0.3374224495991723,4.237,56448,39401,2.957448218,0.02488251289432074,0.11409242858269117,Transplant to NS,SSID,Nearshore,Offshore coral
SSID54_3,6,3,5,0.074909,0.6445,0.022380656839927588,0.017725885699508656,0.1652495657615722,0.6128245701060253,4.237,57985.33333,31335.66667,2.289703482,0.07217072737175154,0.2676436381058118,NS Native,SSID,Nearshore,Nearshore coral
SSID615_2,6,3,5,0.074909,0.6445,0.023932247220067236,0.0192774760796483,0.18112202503232477,0.6530466026894234,4.237,55440,32022.66667,2.447331145,0.07400797615899452,0.26684031052504886,OS Native,SSID,Offshore,Offshore coral
SSID617_3,6,3,5,0.074909,0.6445,0.04513731574864237,0.03944815102146366,0.3838900622704938,1.2100029512800625,4.237,55212,27527.66667,2.112488656,0.18172408224780254,0.5727855379688546,OS Native,SSID,Offshore,Offshore coral
SSID624_3,6,3,5,0.074909,0.6445,0.05444685802948022,0.046688906128782015,0.45081367230411196,1.4658456200155159,4.237,56201.33333,23658,1.783568824,0.25275933635859066,0.8218609791171791,Transplant to NS,SSID,Nearshore,Offshore coral
SSIDF18_2,6,3,5,0.074909,0.6445,0.0115195241789501,0.00789914662529092,0.06829792366175325,0.32401510540470685,4.237,56153,22356.33333,1.686887332,0.04048754316079792,0.1920786879231285,NS Native,SSID,Nearshore,Nearshore coral
