sample_ID,meanabsor,sd,n,se,meanvol,m,b,dilution,calc_conc_mg_ml,final_lipid_mg,Material,ash_free_dry_weight_g,dry_weight_volume_ml,total_volume_ml,total_dry_weight_g,lipid_mg_mg,treatment,species
PSTR110_1,0.033666666666666664,0.0020816659994661304,3,0.0012018504251546619,20,1.7596094600705174,-0.019183788310567097,2.2666666666666666,0.04005639684514031,1.8158899903130274,tissue,0.0118,18.8,20,0.012553191489999999,0.14465564328876715,Transplant to OS,PSTR
PSTR117_1,0.03,0.002,3,0.0011547005383792516,20,1.7596094600705174,-0.019183788310567097,2.2666666666666666,0.033604495491548425,1.5234037956168618,tissue,0.0225,18.8,20,0.02393617021,0.06364442524645891,OS Native,PSTR
PSTR14_1,0.022,0.015588457268119896,3,0.009000000000000001,20,1.7596094600705174,-0.019183788310567097,2.2666666666666666,0.019527619810984286,0.8852520980979544,tissue,0.030799999999999998,18.8,20,0.032765957449999994,0.027017434160098212,NS Native,PSTR
PSTR318_1,0.02,0.018520259177452134,3,0.010692676621563627,20,1.342227080588043,0.009980551429267206,2.2666666666666666,0.036825093041028066,1.669404217859939,tissue,0.0063,18.8,20,0.00670212766,0.24908570868074736,OS Native,PSTR
PSTR34_3,0.018333333333333333,0.03403429642777023,3,0.01964971020425266,10,1.342227080588043,0.009980551429267206,2.2666666666666666,0.03458804790671466,0.7839957525521989,tissue,0.0322,8.8,10,0.03659090909,0.021425970877735276,NS Native,PSTR
PSTR43_1,0.029333333333333333,0.009073771725877467,3,0.005238744548500571,20,1.342227080588043,0.009980551429267206,2.2666666666666666,0.04935254579318313,2.2373154092909684,tissue,0.0413,18.8,20,0.04393617021000001,0.050921948786099444,NS Native,PSTR
PSTR510_1,0.03166666666666666,0.02458319208998972,3,0.014193112570695846,20,1.342227080588043,0.009980551429267206,2.2666666666666666,0.05248440898122189,2.3792932071487254,tissue,0.0177,18.8,20,0.018829787229999995,0.12635794436157982,Transplant to OS,PSTR
PSTR519_1,0.021333333333333333,0.010692676621563627,3,0.006173419725817379,15,1.342227080588043,0.009980551429267206,2.2666666666666666,0.038614729148478785,1.3129007910482788,tissue,0.022699999999999998,13.8,15,0.024673913040000002,0.053210076120470864,OS Native,PSTR
PSTR55_1,0.018666666666666668,0.013650396819628848,3,0.007881060278357927,14,1.342227080588043,0.009980551429267206,2.2666666666666666,0.03503545693357735,1.1117918333588543,tissue,0.020900000000000002,12.8,14,0.022859375,0.048636143086101626,NS Native,PSTR
PSTR57_1,0.043333333333333335,0.01607275126832159,3,0.00927960727138337,15,1.342227080588043,0.009980551429267206,2.2666666666666666,0.06814372492141574,2.316886647328135,tissue,0.021,13.8,15,0.02282608696,0.1015017007246228,Transplant to OS,PSTR
PSTR625_1,0.065,0.008000000000000004,3,0.004618802153517008,14,1.342227080588043,0.009980551429267206,2.2666666666666666,0.09722531166749,3.0852832235816825,tissue,0.0196,12.8,14,0.0214375,0.1439199171350056,Transplant to NS,PSTR
PSTR64_1,0.04866666666666667,0.015275252316519466,3,0.008819171036881969,20,1.342227080588043,0.009980551429267206,2.2666666666666666,0.07530226935121864,3.413702877255245,tissue,0.02,18.8,20,0.02127659574,0.1604440352662942,NS Native,PSTR
PSTR68_1,0.029,0.01609347693943108,3,0.00929157324317757,20,1.342227080588043,0.009980551429267206,2.2666666666666666,0.04890513676632045,2.2170328667398604,tissue,0.0208,18.8,20,0.022127659569999996,0.10019283149789804,Transplant to OS,PSTR
PSTRF30_1,0.032,0.014106735979665884,3,0.008144527815247077,12.5,1.7596094600705174,-0.019183788310567097,2.2666666666666666,0.03712371441168946,1.051838574997868,tissue,0.0443,11.3,12.5,0.04900442478,0.02146415511905266,na,PSTR
PSTRF46_1,0.05,0.038157568056677825,3,0.02203028218914441,17,1.7596094600705174,-0.019183788310567097,2.2666666666666666,0.06879668469295878,2.650965583502012,tissue,0.027,15.8,17,0.029050632910000002,0.09125328152797246,na,PSTR
