sample_ID,mean_pro,sd,n,se,meanvol,m,b,final_protein_ug,final_protein_mg,Material,ash_free_dry_weight_g,dry_weight_volume_ml,total_volume_ml,total_dry_weight_g,total_dry_weight_mg,protein_mg_mg,treatment,species
PSTR110_1,111.13924961254445,10.159834776904852,3,5.865783343368138,20,989.9282803615345,-393.06422118493043,2222.784992250889,2.222784992250889,tissue,0.0118,18.8,20,0.012553191489999999,12.55319149,0.17706931293301645,Transplant to OS,PSTR
PSTR117_1,18.085991258560266,4.572282873161264,3,2.6398087476307714,20,989.9282803615345,-393.06422118493043,361.71982517120534,0.3617198251712053,tissue,0.0225,18.8,20,0.02393617021,23.93617021,0.015111850475565503,OS Native,PSTR
PSTR14_1,253.60808931776285,77.30900035533264,3,44.63437216593218,20,2247.69658293642,-834.2770568234644,5072.1617863552565,5.072161786355257,tissue,0.030799999999999998,18.8,20,0.032765957449999994,32.765957449999995,0.1547997428152449,NS Native,PSTR
PSTR318_1,11.816445482937183,3.4292121548709478,3,1.9798565607230785,20,989.9282803615345,-393.06422118493043,236.32890965874367,0.23632890965874367,tissue,0.0063,18.8,20,0.00670212766,6.70212766,0.03526177381985942,OS Native,PSTR
PSTR34_3,531.1952126019563,52.390884098177025,3,30.24789103716499,10,1976.8972023188876,-795.9617758881236,5311.952126019563,5.3119521260195635,tissue,0.0322,8.8,10,0.03659090909,36.59090909,0.14517136245383086,NS Native,PSTR
PSTR43_1,245.20408399982395,75.9584859588163,3,43.854652315559,20,1976.8972023188876,-795.9617758881236,4904.081679996479,4.904081679996478,tissue,0.0413,18.8,20,0.04393617021000001,43.93617021000001,0.11161832395852049,NS Native,PSTR
PSTR510_1,86.39334208020655,10.8879008065038,3,6.286132461544913,20,1976.8972023188876,-795.9617758881236,1727.866841604131,1.727866841604131,tissue,0.0177,18.8,20,0.018829787229999995,18.829787229999994,0.091762419856304,Transplant to OS,PSTR
PSTR519_1,67.28333579112405,19.80189289865496,3,11.43262819550258,15,1976.8972023188876,-795.9617758881236,1009.2500368668607,1.0092500368668607,tissue,0.022699999999999998,13.8,15,0.024673913040000002,24.673913040000002,0.04090352572900454,OS Native,PSTR
PSTR55_1,115.3878343808836,23.96860477029956,3,13.8382804162322,14,1976.8972023188876,-795.9617758881236,1615.4296813323704,1.6154296813323703,tissue,0.020900000000000002,12.8,14,0.022859375,22.859375,0.0706681473720244,NS Native,PSTR
PSTR57_1,181.94337352561945,14.571936217851611,3,8.413111297990685,15,1976.8972023188876,-795.9617758881236,2729.150602884292,2.729150602884292,tissue,0.021,13.8,15,0.02282608696,22.826086959999998,0.11956278829861657,Transplant to OS,PSTR
PSTR625_1,373.0434364164452,15.856309489364056,3,9.154644552038356,14,1976.8972023188876,-795.9617758881236,5222.608109830233,5.222608109830233,tissue,0.0196,12.8,14,0.0214375,21.4375,0.24362020337400503,Transplant to NS,PSTR
PSTR64_1,278.81133643924505,18.996051747179287,3,10.967375589774022,20,1976.8972023188876,-795.9617758881236,5576.226728784901,5.576226728784901,tissue,0.02,18.8,20,0.02127659574,21.27659574,0.2620826563105485,NS Native,PSTR
PSTR68_1,81.78058194146247,13.696345583028322,3,7.907588809275544,20,1976.8972023188876,-795.9617758881236,1635.6116388292494,1.6356116388292494,tissue,0.0208,18.8,20,0.022127659569999996,22.127659569999995,0.07391706446201665,Transplant to OS,PSTR
PSTRF30_1,278.33275173006353,165.5531911940133,3,95.58217950106516,12.5,2247.69658293642,-834.2770568234644,3479.159396625794,3.479159396625794,tissue,0.0443,11.3,12.5,0.04900442478,49.00442478,0.07099684186162983,na,PSTR
PSTRF46_1,155.4586718628726,86.36343312863619,3,49.86195136495835,17,2247.69658293642,-834.2770568234644,2642.797421668834,2.642797421668834,tissue,0.027,15.8,17,0.029050632910000002,29.05063291,0.09097211168707835,na,PSTR
PSTRS14_1,55.373289818844704,7.138474347750812,3,4.12140008627717,20,989.9282803615345,-393.06422118493043,1107.465796376894,1.1074657963768941,tissue,0.0058000000000000005,18.8,20,0.006170212765999999,6.170212765999999,0.17948583596329332,na,PSTR
SSID118_1,309.0512716968612,25.561887596121814,3,14.758162684615886,17,2247.69658293642,-834.2770568234644,5253.871618846641,5.253871618846641,tissue,0.0245,15.8,17,0.026360759490000003,26.360759490000003,0.19930653442817933,OS Native,SSID
SSID123_1,342.0174882465954,107.00389303960033,3,61.77872645075117,20,2247.69658293642,-834.2770568234644,6840.349764931908,6.840349764931908,tissue,0.029099999999999997,18.8,20,0.030957446810000004,30.957446810000004,0.2209597518462766,Transplant to NS,SSID
SSID15_1,135.2294026164448,41.46578857906788,3,23.940284198284953,18,2247.69658293642,-834.2770568234644,2434.129247096006,2.4341292470960063,tissue,0.0116,16.8,18,0.012428571429999999,12.428571429999998,0.1958494796288914,NS Native,SSID
SSID418_1,114.2509011757049,31.4677521611099,3,18.167915181009228,14,2247.69658293642,-834.2770568234644,1599.5126164598685,1.5995126164598685,tissue,0.012,12.8,14,0.013125,13.125,0.12186762792075188,OS Native,SSID
SSID42_1,605.7472206444685,81.48739726654344,3,47.046770747400835,18,2247.69658293642,-834.2770568234644,10903.449971600432,10.903449971600432,tissue,0.0567,16.650000000000002,18,0.0612972973,61.2972973,0.17787815208616764,NS Native,SSID
SSID423_1,303.05741414236417,37.543934798784534,3,21.67600086251601,12.5,2247.69658293642,-834.2770568234644,3788.217676779552,3.7882176767795523,tissue,0.0245,11.3,12.5,0.02710176991,27.10176991,0.13977750122444133,Transplant to NS,SSID
SSID517_1,83.53238120890713,13.54847165125897,3,7.82221375496238,17,2247.69658293642,-834.2770568234644,1420.050480551421,1.4200504805514211,tissue,0.0122,15.8,17,0.01312658228,13.126582280000001,0.10818128056950868,OS Native,SSID
SSID518_1,249.86192834620215,42.070571921158816,3,24.289456023642554,15,2247.69658293642,-834.2770568234644,3747.9289251930322,3.7479289251930323,tissue,0.026900000000000004,13.8,15,0.029239130429999993,29.239130429999992,0.12818195582682496,OS Native,SSID
SSID524_1,398.95913501431806,35.8458866342399,3,20.695632297619216,20,2247.69658293642,-834.2770568234644,7979.182700286361,7.979182700286361,tissue,0.0317,18.8,20,0.03372340426,33.72340426,0.2366066794078268,Transplant to NS,SSID
SSID54_1,378.7298657678903,54.00711791647199,3,31.181024067230965,20,2247.69658293642,-834.2770568234644,7574.597315357806,7.574597315357806,tissue,0.0248,18.8,20,0.026382978720000005,26.382978720000004,0.28710167247399443,NS Native,SSID
SSID615_1,106.00934703827136,27.190006919249125,3,15.69815781409627,20,2247.69658293642,-834.2770568234644,2120.186940765427,2.1201869407654272,tissue,0.0177,18.8,20,0.018829787229999995,18.829787229999994,0.1125974985732979,OS Native,SSID
SSID617_1,34.83228857861801,26.05131085226781,3,15.04073133329944,18,2247.69658293642,-834.2770568234644,626.9811944151243,0.6269811944151242,tissue,0.0145,16.8,18,0.015535714289999999,15.53571429,0.04035741020409331,OS Native,SSID
SSID624_1,165.91528112588273,3.7478079820592187,3,2.163797947312918,20,989.9282803615345,-393.06422118493043,3318.3056225176547,3.318305622517655,tissue,0.0134,18.8,20,0.014255319150000001,14.255319150000002,0.23277666305476258,Transplant to NS,SSID
SSIDF18_1,107.50781142689569,46.93328252977424,3,27.096943302517918,19,2247.69658293642,-834.2770568234644,2042.648417111018,2.042648417111018,tissue,0.011399999999999999,17.8,19,0.01216853933,12.16853933,0.16786307392499655,NS Native,SSID
SSIDF20_3,738.3613190377173,51.27179350962764,3,29.601783784618426,15,2247.69658293642,-834.2770568234644,11075.419785565759,11.075419785565758,tissue,0.051300000000000005,13.65,15,0.056373626370000006,56.373626370000004,0.19646456151097802,na,SSID
SSIDF3_1,364.4944540759596,63.428601041505345,3,36.620519885634494,16,2247.69658293642,-834.2770568234644,5831.9112652153535,5.8319112652153535,tissue,0.0258,14.8,16,0.02789189189,27.89189189,0.20908984188721352,NS Native,SSID
SSIDS23_1,479.1269798057169,38.23287180042597,3,22.073758825868385,17,2247.69658293642,-834.2770568234644,8145.158656697187,8.145158656697188,tissue,0.0356,15.8,17,0.038303797470000005,38.303797470000006,0.21264624383722197,na,SSID
SSIDS5_1,268.59273320400575,63.26909885850028,3,36.52843125734018,18,2247.69658293642,-834.2770568234644,4834.669197672103,4.8346691976721035,tissue,0.0258,16.8,18,0.027642857139999998,27.642857139999997,0.1748975937323136,na,SSID
