sample_ID,meanabsor,sd,n,se,meanvol,m,b,calc_conc,final_protein_ug,final_protein_mg,Material,ash_free_dry_weight_g,dry_weight_volume_ml,total_volume_ml,total_dry_weight_g,total_dry_weight_mg,protein_mg_mg,treatment,species,transplant_envir,home_envir
PSTR110_1,0.5093333333333333,0.010263202878893778,3,0.005925462944877065,20,989.928,-39.064,465.1393279999999,9302.786559999999,9.30278656,tissue,0.0118,18.8,20,0.012553191489999999,12.55319149,0.741069437792827,Transplant to OS,PSTR,Offshore,Nearshore coral
PSTR117_1,0.4153333333333334,0.004618802153517011,3,0.0026666666666666696,20,989.928,-39.064,372.08609600000005,7441.721920000001,7.441721920000001,tissue,0.0225,18.8,20,0.02393617021,23.93617021,0.3108986046937039,OS Native,PSTR,Offshore,Offshore coral
PSTR14_1,0.48400000000000004,0.034394767043839675,3,0.019857828011475308,20,2247.697,-834.2771,253.60824800000023,5072.164960000005,5.072164960000005,tissue,0.030799999999999998,18.8,20,0.032765957449999994,32.765957449999995,0.15479983967323396,NS Native,PSTR,Nearshore,Nearshore coral
PSTR318_1,0.40900000000000003,0.0034641016151377574,3,0.0020000000000000018,20,989.928,-39.064,365.816552,7316.33104,7.31633104,tissue,0.0063,18.8,20,0.00670212766,6.70212766,1.0916430439941813,OS Native,PSTR,Offshore,Offshore coral
PSTR34_3,0.6713333333333333,0.026501572280401234,3,0.015300689890037978,10,1976.897,-795.9618,531.1950526666667,5311.950526666667,5.311950526666667,tissue,0.0322,8.8,10,0.03659090909,36.59090909,0.1451713187448076,NS Native,PSTR,Nearshore,Nearshore coral
PSTR43_1,0.5266666666666667,0.0384230833397495,3,0.022183577509299803,20,1976.897,-795.9618,245.2039533333334,4904.079066666668,4.904079066666668,tissue,0.0413,18.8,20,0.04393617021000001,43.93617021000001,0.1116182644783747,NS Native,PSTR,Nearshore,Nearshore coral
PSTR510_1,0.44633333333333336,0.005507570547286107,3,0.0031797973380564885,20,1976.897,-795.9618,86.39322766666669,1727.8645533333338,1.7278645533333339,tissue,0.0177,18.8,20,0.018829787229999995,18.829787229999994,0.09176229833231814,Transplant to OS,PSTR,Offshore,Nearshore coral
PSTR519_1,0.4366666666666667,0.010016652800877794,3,0.005783117190965813,15,1976.897,-795.9618,67.28322333333335,1009.2483500000003,1.0092483500000002,tissue,0.022699999999999998,13.8,15,0.024673913040000002,24.673913040000002,0.04090345736259433,OS Native,PSTR,Offshore,Offshore coral
PSTR55_1,0.461,0.012124355652982153,3,0.007000000000000007,14,1976.897,-795.9618,115.38771699999995,1615.4280379999993,1.6154280379999992,tissue,0.020900000000000002,12.8,14,0.022859375,22.859375,0.07066807548325356,NS Native,PSTR,Nearshore,Nearshore coral
PSTR57_1,0.4946666666666667,0.007371114795831979,3,0.004255715111601227,15,1976.897,-795.9618,181.94324933333337,2729.1487400000005,2.7291487400000007,tissue,0.021,13.8,15,0.02282608696,22.826086959999998,0.11956270668654287,Transplant to OS,PSTR,Offshore,Nearshore coral
