timepoint,bw_date,ID,species,collection_site,transplant_site,treatment,mortality,bw,bw_sd,bw_se
T0,12/11/2017,PSTR 1 1,PSTR,NS,NS,NS Native,alive,16.99472296,0.014142136,0.01
T0,12/11/2017,PSTR 1 2,PSTR,NS,NS,NS Native,alive,28.50501319,0.028284271,0.02
T0,12/11/2017,PSTR 1 3,PSTR,NS,NS,NS Native,alive,16.50844327,0.007071068,0.005
T0,12/11/2017,PSTR 1 4,PSTR,NS,NS,NS Native,alive,13.15963061,0.021213203,0.015
T0,12/11/2017,PSTR 1 5,PSTR,NS,NS,NS Native,alive,14.14722955,0,0
T0,12/11/2017,PSTR 1 6,PSTR,NS,NS,NS Native,alive,22.20343008,0.007071068,0.005
T0,12/11/2017,PSTR 1 7,PSTR,NS,OS,OS Transplant,alive,27.6828496,0.014142136,0.01
T0,12/11/2017,PSTR 1 8,PSTR,NS,OS,OS Transplant,alive,16.07730871,0.007071068,0.005
T0,12/11/2017,PSTR 1 9,PSTR,NS,OS,OS Transplant,alive,15.44063325,0,0
T0,12/11/2017,PSTR 1 10,PSTR,NS,OS,OS Transplant,alive,18.62401055,0.007071068,0.005
T0,12/11/2017,PSTR 1 11,PSTR,NS,OS,OS Transplant,alive,17.68654354,0.028284271,0.02
T0,12/11/2017,PSTR 1 12,PSTR,NS,OS,OS Transplant,alive,22.34881266,0,0
T0,12/11/2017,PSTR 1 13,PSTR,NS,control,control,alive,NA,NA,NA
T0,12/12/2017,PSTR 1 14,PSTR,OS,OS,OS Native,alive,18.0911958,0.035355339,0.025
T0,12/12/2017,PSTR 1 15,PSTR,OS,OS,OS Native,alive,16.24862024,0.014142136,0.01
T0,12/12/2017,PSTR 1 16,PSTR,OS,OS,OS Native,alive,20.52798949,0.007071068,0.005
T0,12/12/2017,PSTR 1 17,PSTR,OS,OS,OS Native,alive,13.7369251,0.007071068,0.005
T0,12/12/2017,PSTR 1 18,PSTR,OS,OS,OS Native,alive,9.207884363,0,0
T0,12/12/2017,PSTR 1 19,PSTR,OS,OS,OS Native,alive,14.62076216,0,0
T0,12/12/2017,PSTR 1 20,PSTR,OS,NS,NS Transplant,alive,9.607358739,0,0
T0,12/12/2017,PSTR 1 21,PSTR,OS,NS,NS Transplant,alive,17.082523,0.007071068,0.005
T0,12/12/2017,PSTR 1 22,PSTR,OS,NS,NS Transplant,alive,14.22628121,0.007071068,0.005
T0,12/12/2017,PSTR 1 23,PSTR,OS,NS,NS Transplant,alive,17.50197109,0.035355339,0.025
T0,12/12/2017,PSTR 1 24,PSTR,OS,NS,NS Transplant,alive,14.07148489,0.014142136,0.01
T0,12/12/2017,PSTR 1 25,PSTR,OS,NS,NS Transplant,alive,16.75795007,0.014142136,0.01
T0,12/12/2017,PSTR 1 26,PSTR,OS,control,control,alive,NA,NA,NA
T0,12/11/2017,PSTR 2 1,PSTR,NS,NS,NS Native,alive,14.85,0.01414,0.01
T0,12/11/2017,PSTR 2 2,PSTR,NS,NS,NS Native,alive,21.405,0.00707,0.005
T0,12/11/2017,PSTR 2 3,PSTR,NS,NS,NS Native,alive,13.66,0,0
T0,12/11/2017,PSTR 2 4,PSTR,NS,NS,NS Native,alive,12.8,0.01414,0.01
T0,12/11/2017,PSTR 2 5,PSTR,NS,NS,NS Native,alive,25.205,0.02121,0.015
T0,12/11/2017,PSTR 2 6,PSTR,NS,NS,NS Native,alive,12.635,0.007071,0.005
T0,12/11/2017,PSTR 2 7,PSTR,NS,OS,OS Transplant,alive,15.34,0,0
T0,12/11/2017,PSTR 2 8,PSTR,NS,OS,OS Transplant,alive,12.175,0.00707,0.005
T0,12/11/2017,PSTR 2 9,PSTR,NS,OS,OS Transplant,alive,16.92,0,0
T0,12/11/2017,PSTR 2 10,PSTR,NS,OS,OS Transplant,alive,21.06,0.02828,0.02
T0,12/11/2017,PSTR 2 11,PSTR,NS,OS,OS Transplant,alive,21.07,0.014142136,0.01
T0,12/11/2017,PSTR 2 12,PSTR,NS,OS,OS Transplant,alive,24.055,0.007071068,0.005
T0,12/11/2017,PSTR 2 13,PSTR,NS,control,control,alive,NA,NA,NA
T0,12/12/2017,PSTR 2 14,PSTR,OS,OS,OS Native,alive,8.97,0,0
T0,12/12/2017,PSTR 2 15,PSTR,OS,OS,OS Native,alive,12.855,0.007071068,0.005
T0,12/12/2017,PSTR 2 16,PSTR,OS,OS,OS Native,alive,9.875,0.007071068,0.005
T0,12/12/2017,PSTR 2 17,PSTR,OS,OS,OS Native,alive,9.705,0.021213203,0.015
T0,12/12/2017,PSTR 2 18,PSTR,OS,OS,OS Native,alive,8.98,0.014142136,0.01
T0,12/12/2017,PSTR 2 19,PSTR,OS,OS,OS Native,alive,12.155,0.007071068,0.005
T0,12/12/2017,PSTR 2 20,PSTR,OS,NS,NS Transplant,alive,13.25,0.014142136,0.01
T0,12/12/2017,PSTR 2 21,PSTR,OS,NS,NS Transplant,alive,10.53,0.014142136,0.01
T0,12/12/2017,PSTR 2 22,PSTR,OS,NS,NS Transplant,alive,13.31,0.014142136,0.01
T0,12/12/2017,PSTR 2 23,PSTR,OS,NS,NS Transplant,alive,11.95,0.014142136,0.01
T0,12/12/2017,PSTR 2 24,PSTR,OS,NS,NS Transplant,alive,13.92,0,0
T0,12/12/2017,PSTR 2 25,PSTR,OS,NS,NS Transplant,alive,10.22,0,0
T0,12/11/2017,PSTR 3 1,PSTR,NS,NS,NS Native,alive,15.33981603,0,0
T0,12/11/2017,PSTR 3 2,PSTR,NS,NS,NS Native,alive,27.18423127,0,0
T0,12/11/2017,PSTR 3 3,PSTR,NS,NS,NS Native,alive,15.4696452,0,0
T0,12/11/2017,PSTR 3 4,PSTR,NS,NS,NS Native,alive,13.66701708,0.035355339,0.025
T0,12/11/2017,PSTR 3 5,PSTR,NS,NS,NS Native,alive,9.562417871,0.021213203,0.015
T0,12/11/2017,PSTR 3 6,PSTR,NS,NS,NS Native,alive,21.61156373,0,0
T0,12/11/2017,PSTR 3 7,PSTR,NS,OS,OS Transplant,alive,16.0239159,0.007071068,0.005
T0,12/11/2017,PSTR 3 8,PSTR,NS,OS,OS Transplant,alive,8.08935611,0.028284271,0.02
T0,12/11/2017,PSTR 3 9,PSTR,NS,NS,NS Native,alive,20.74270696,0.014142136,0.01
