date,plate_number,row,column,carb_source,sample_ID,replicate,absorbance_485,concentration_mg_ml
11/16,4,A,1,standard,DG_B,1,0.254,0
11/16,4,A,2,standard,DG_B,2,0.256,0
11/16,4,A,3,standard,DG_B,3,0.251,0
11/16,4,B,1,standard,DG_1,1,0.265,0.00901
11/16,4,B,2,standard,DG_1,2,0.272,0.00901
11/16,4,B,3,standard,DG_1,3,0.258,0.00901
11/16,4,C,1,standard,DG_2,1,0.258,0.01802
11/16,4,C,2,standard,DG_2,2,0.262,0.01802
11/16,4,C,3,standard,DG_2,3,0.261,0.01802
11/16,4,D,1,standard,DG_3,1,0.278,0.02703
11/16,4,D,2,standard,DG_3,2,0.284,0.02703
11/16,4,D,3,standard,DG_3,3,0.282,0.02703
11/16,4,E,1,standard,DG_4,1,0.278,0.03604
11/16,4,E,2,standard,DG_4,2,0.292,0.03604
11/16,4,E,3,standard,DG_4,3,0.29,0.03604
11/16,4,F,1,standard,DG_5,1,0.297,0.05406
11/16,4,F,2,standard,DG_5,2,0.313,0.05406
11/16,4,F,3,standard,DG_5,3,0.312,0.05406
11/16,4,G,1,standard,DG_6,1,0.349,0.0901
11/16,4,G,2,standard,DG_6,2,0.334,0.0901
11/16,4,G,3,standard,DG_6,3,0.344,0.0901
11/16,4,H,1,standard,DG_7,1,0.435,0.1802
11/16,4,H,2,standard,DG_7,2,0.427,0.1802
11/16,4,H,3,standard,DG_7,3,0.414,0.1802
11/16,4,A,4,standard,DG_8,1,0.639,0.3604
11/16,4,A,5,standard,DG_8,2,0.679,0.3604
11/16,4,A,6,standard,DG_8,3,0.668,0.3604
11/16,4,B,4,standard,DG_9,1,1.297,0.901
11/16,4,B,5,standard,DG_9,2,1.256,0.901
11/16,4,B,6,standard,DG_9,3,1.302,0.901
11/16,4,C,4,sample,SSIDF3_1,1,0.616,
11/16,4,C,5,sample,SSIDF3_1,2,0.668,
11/16,4,C,6,sample,SSIDF3_1,3,0.656,
11/16,4,D,4,sample,SSIDF18_1,1,0.44,
11/16,4,D,5,sample,SSIDF18_1,2,0.422,
11/16,4,D,6,sample,SSIDF18_1,3,0.455,
11/16,4,E,4,sample,SSIDF20_3,1,1.167,
11/16,4,E,5,sample,SSIDF20_3,2,1.247,
11/16,4,E,6,sample,SSIDF20_3,3,1.301,
11/16,4,F,4,sample,SSIDS5_1,1,0.935,
11/16,4,F,5,sample,SSIDS5_1,2,0.893,
11/16,4,F,6,sample,SSIDS5_1,3,0.925,
11/16,4,G,4,sample,SSIDS23_1,1,0.866,
11/16,4,G,5,sample,SSIDS23_1,2,0.909,
11/16,4,G,6,sample,SSIDS23_1,3,0.898,
11/16,4,H,4,sample,SSID118_1,1,0.86,
11/16,4,H,5,sample,SSID118_1,2,0.86,
11/16,4,H,6,sample,SSID118_1,3,0.905,
11/16,4,A,7,sample,SSID123_1,1,0.612,
11/16,4,A,8,sample,SSID123_1,2,0.634,
11/16,4,A,9,sample,SSID123_1,3,0.627,
11/16,4,B,7,sample,SSID15_1,1,0.407,
11/16,4,B,8,sample,SSID15_1,2,0.436,
11/16,4,B,9,sample,SSID15_1,3,0.438,
11/16,4,C,7,sample,SSID418_1,1,0.609,
11/16,4,C,8,sample,SSID418_1,2,0.606,
11/16,4,C,9,sample,SSID418_1,3,0.63,
11/16,4,D,7,sample,SSID42_1,1,1.426,
11/16,4,D,8,sample,SSID42_1,2,1.54,
11/16,4,D,9,sample,SSID42_1,3,1.536,
