plate_number,row,column,carb_source,dilution,sample_ID,replicate,absorbance_485,concentration_mg_ml
6,A,1,standard,na,DG_B,1,0.272,0
6,A,2,standard,na,DG_B,2,0.277,0
6,A,3,standard,na,DG_B,3,0.274,0
6,B,1,standard,na,DG_1,1,0.29,0.00901
6,B,2,standard,na,DG_1,2,0.292,0.00901
6,B,3,standard,na,DG_1,3,0.301,0.00901
6,C,1,standard,na,DG_2,1,0.266,0.01802
6,C,2,standard,na,DG_2,2,0.262,0.01802
6,C,3,standard,na,DG_2,3,0.271,0.01802
6,D,1,standard,na,DG_3,1,0.328,0.02703
6,D,2,standard,na,DG_3,2,0.302,0.02703
6,D,3,standard,na,DG_3,3,0.3,0.02703
6,E,1,standard,na,DG_4,1,0.338,0.03604
6,E,2,standard,na,DG_4,2,0.341,0.03604
6,E,3,standard,na,DG_4,3,0.352,0.03604
6,F,1,standard,na,DG_5,1,0.289,0.05406
6,F,2,standard,na,DG_5,2,0.289,0.05406
6,F,3,standard,na,DG_5,3,0.291,0.05406
6,G,1,standard,na,DG_6,1,0.347,0.0901
6,G,2,standard,na,DG_6,2,0.343,0.0901
6,G,3,standard,na,DG_6,3,0.351,0.0901
6,H,1,standard,na,DG_7,1,0.423,0.1802
6,H,2,standard,na,DG_7,2,0.423,0.1802
6,H,3,standard,na,DG_7,3,0.456,0.1802
6,A,4,standard,na,DG_8,1,0.637,0.3604
6,A,5,standard,na,DG_8,2,0.613,0.3604
6,A,6,standard,na,DG_8,3,0.648,0.3604
6,B,4,standard,na,DG_9,1,1.228,0.901
6,B,5,standard,na,DG_9,2,1.233,0.901
6,B,6,standard,na,DG_9,3,1.284,0.901
6,C,4,sample,15,SSIDF20_3,1,0.789,
6,C,5,sample,15,SSIDF20_3,2,0.845,
6,C,6,sample,15,SSIDF20_3,3,0.858,
6,D,4,sample,12,SSIDF20_3,1,0.807,
6,D,5,sample,12,SSIDF20_3,2,0.825,
6,D,6,sample,12,SSIDF20_3,3,0.825,
6,E,4,sample,15,SSID42_1,1,0.989,
6,E,5,sample,15,SSID42_1,2,1.002,
6,E,6,sample,15,SSID42_1,3,1.021,
6,F,4,sample,12,SSID42_1,1,1.102,
6,F,5,sample,12,SSID42_1,2,1.209,
6,F,6,sample,12,SSID42_1,3,1.207,
