plate_number,row,column,absorbance,chl_source,sample_ID,replicate,absorbance_reading
5,A,1,632,standard,water,1,0.074
5,A,2,632,standard,water,2,0.074
5,A,3,632,standard,water,3,0.074
5,B,1,632,standard,water,4,0.073
5,B,2,632,standard,water,5,0.076
5,B,3,632,standard,water,6,0.078
5,C,1,632,standard,methanol,1,0.077
5,C,2,632,standard,methanol,2,0.079
5,C,3,632,standard,methanol,3,0.075
5,D,1,632,standard,methanol,4,0.076
5,D,2,632,standard,methanol,5,0.075
5,D,3,632,standard,methanol,6,0.075
5,E,1,632,standard,methanol,7,0.076
5,E,2,632,standard,methanol,8,0.074
5,E,3,632,standard,methanol,9,0.076
5,F,1,632,standard,methanol,10,0.076
5,F,2,632,standard,methanol,11,0.077
5,F,3,632,standard,methanol,12,0.077
5,G,1,632,standard,standard,1,0.204
5,G,2,632,standard,standard,2,0.171
5,G,3,632,standard,standard,3,0.172
5,H,1,632,standard,standard,4,0.186
5,H,2,632,standard,standard,5,0.171
5,H,3,632,standard,standard,6,0.176
5,A,4,632,sample,PSTR110_2,1,0.097
5,A,5,632,sample,PSTR110_2,2,0.098
5,A,6,632,sample,PSTR110_2,3,0.106
5,B,4,632,sample,PSTR117_2,1,0.094
5,B,5,632,sample,PSTR117_2,2,0.091
5,B,6,632,sample,PSTR117_2,3,0.093
5,C,4,632,sample,PSTR14_3,1,0.077
5,C,5,632,sample,PSTR14_3,2,0.078
5,C,6,632,sample,PSTR14_3,3,0.077
5,D,4,632,sample,PSTR318_3,1,0.081
5,D,5,632,sample,PSTR318_3,2,0.08
5,D,6,632,sample,PSTR318_3,3,0.079
5,E,4,632,sample,PSTR34_2,1,0.083
5,E,5,632,sample,PSTR34_2,2,0.08
5,E,6,632,sample,PSTR34_2,3,0.077
5,F,4,632,sample,PSTR43_2,1,0.083
5,F,5,632,sample,PSTR43_2,2,0.084
5,F,6,632,sample,PSTR43_2,3,0.081
5,G,4,632,sample,PSTR510_2,1,0.111
5,G,5,632,sample,PSTR510_2,2,0.106
5,G,6,632,sample,PSTR510_2,3,0.108
5,H,4,632,sample,PSTR519_2,1,0.084
5,H,5,632,sample,PSTR519_2,2,0.086
5,H,6,632,sample,PSTR519_2,3,0.084
5,A,7,632,sample,PSTR55_2,1,0.078
5,A,8,632,sample,PSTR55_2,2,0.076
5,A,9,632,sample,PSTR55_2,3,0.079
5,B,7,632,sample,PSTR57_3,1,0.1
5,B,8,632,sample,PSTR57_3,2,0.1
5,B,9,632,sample,PSTR57_3,3,0.102
5,C,7,632,sample,PSTR625_2,1,0.081
5,C,8,632,sample,PSTR625_2,2,0.083
5,C,9,632,sample,PSTR625_2,3,0.082
5,D,7,632,sample,PSTR64_2,1,0.088
5,D,8,632,sample,PSTR64_2,2,0.089
5,D,9,632,sample,PSTR64_2,3,0.089
5,E,7,632,sample,PSTR68_3,1,0.096
5,E,8,632,sample,PSTR68_3,2,0.096
5,E,9,632,sample,PSTR68_3,3,0.092
5,F,7,632,sample,PSTRF30_2,1,0.115
5,F,8,632,sample,PSTRF30_2,2,0.12
5,F,9,632,sample,PSTRF30_2,3,0.129
5,G,7,632,sample,PSTRF46_2,1,0.079
5,G,8,632,sample,PSTRF46_2,2,0.079
5,G,9,632,sample,PSTRF46_2,3,0.088
5,H,7,632,sample,PSTRS14_3,1,0.086
5,H,8,632,sample,PSTRS14_3,2,0.085
5,H,9,632,sample,PSTRS14_3,3,0.087
5,A,10,632,sample,SSID118_3,1,0.082
5,A,11,632,sample,SSID118_3,2,0.081
5,A,12,632,sample,SSID118_3,3,0.08
5,B,10,632,sample,SSID123_2,1,0.094
5,B,11,632,sample,SSID123_2,2,0.095
5,B,12,632,sample,SSID123_2,3,0.094
5,C,10,632,sample,SSID15_3,1,0.077
5,C,11,632,sample,SSID15_3,2,0.078
5,C,12,632,sample,SSID15_3,3,0.08
5,D,10,632,sample,SSID418_2,1,0.093
5,D,11,632,sample,SSID418_2,2,0.098
5,D,12,632,sample,SSID418_2,3,0.092
5,E,10,632,sample,SSID42_3,1,0.077
5,E,11,632,sample,SSID42_3,2,0.085
5,E,12,632,sample,SSID42_3,3,0.083
5,F,10,632,sample,SSID423_3,1,0.089
5,F,11,632,sample,SSID423_3,2,0.093
