plate_number,row,column,lipid_source,sample_ID,replicate,blank_correction_absorbance_540,concentration_mg_ml
1,A,1,standard,Std 1,1,0.712,1.5
1,A,2,standard,Std 1,2,0.853,1.5
1,A,3,standard,Std 1,3,0.912,1.5
1,B,1,standard,Std 2,1,0.489,0.75
1,B,2,standard,Std 2,2,0.581,0.75
1,B,3,standard,Std 2,3,0.35,0.75
1,C,1,standard,Std 3,1,0.125,0.375
1,C,2,standard,Std 3,2,0.213,0.375
1,C,3,standard,Std 3,3,0.165,0.375
1,D,1,standard,Std 4,1,0.132,0.188
1,D,2,standard,Std 4,2,0.134,0.188
1,D,3,standard,Std 4,3,0.154,0.188
1,E,1,standard,Std 5,1,0.083,0.094
1,E,2,standard,Std 5,2,0.071,0.094
1,E,3,standard,Std 5,3,0.105,0.094
1,F,1,standard,Std 6,1,0.056,0.047
1,F,2,standard,Std 6,2,0.046,0.047
1,F,3,standard,Std 6,3,0.04,0.047
1,G,1,standard,Std 7,1,0.029,0
1,G,2,standard,Std 7,2,0.016,0
1,G,3,standard,Std 7,3,0.023,0
1,H,1,standard,Std 8,1,0.003,0
1,H,2,standard,Std 8,2,0.004,0
1,H,3,standard,Std 8,3,0.002,0
1,A,4,sample,SSIDF3_1,1,0.022,
1,A,5,sample,SSIDF3_1,2,0.025,
1,A,6,sample,SSIDF3_1,3,0.0226,
1,B,4,sample,SSIDF18_1,1,0.047,
1,B,5,sample,SSIDF18_1,2,0.073,
1,B,6,sample,SSIDF18_1,3,0.06,
1,C,4,sample,SSIDS5_1,1,0.03,
1,C,5,sample,SSIDS5_1,2,0.042,
1,C,6,sample,SSIDS5_1,3,0.029,
1,D,4,sample,SSIDS23_1,1,0.024,
1,D,5,sample,SSIDS23_1,2,0.034,
1,D,6,sample,SSIDS23_1,3,0.045,
1,E,4,sample,SSID118_1,1,0.053,
1,E,5,sample,SSID118_1,2,0.05,
1,E,6,sample,SSID118_1,3,0.069,
1,F,4,sample,SSID123_1,1,0.018,
1,F,5,sample,SSID123_1,2,0.025,
1,F,6,sample,SSID123_1,3,0.012,
1,G,4,sample,PSTRF30_1,1,0.045,
1,G,5,sample,PSTRF30_1,2,0.034,
1,G,6,sample,PSTRF30_1,3,0.017,
1,H,4,sample,PSTRF46_1,1,0.026,
1,H,5,sample,PSTRF46_1,2,0.03,
1,H,6,sample,PSTRF46_1,3,0.094,
1,A,7,sample,PSTRS14_1,1,0.036,
1,A,8,sample,PSTRS14_1,2,0.033,
1,A,9,sample,PSTRS14_1,3,0.038,
1,B,7,sample,PSTR110_1,1,0.032,
1,B,8,sample,PSTR110_1,2,0.036,
1,B,9,sample,PSTR110_1,3,0.033,
1,C,7,sample,PSTR117_1,1,0.032,
1,C,8,sample,PSTR117_1,2,0.03,
1,C,9,sample,PSTR117_1,3,0.028,
1,D,7,sample,PSTR14_1,1,0.031,
1,D,8,sample,PSTR14_1,2,0.031,
1,D,9,sample,PSTR14_1,3,0.004,
2,A,1,standard,Std 1,1,0.896,1.5
2,A,2,standard,Std 1,2,1.029,1.5
2,A,3,standard,Std 1,3,1.142,1.5
2,B,1,standard,Std 2,1,0.368,0.75
2,B,2,standard,Std 2,2,0.872,0.75
2,B,3,standard,Std 2,3,0.623,0.75
2,C,1,standard,Std 3,1,0.208,0.375
2,C,2,standard,Std 3,2,0.248,0.375
2,C,3,standard,Std 3,3,0.279,0.375
2,D,1,standard,Std 4,1,0.086,0.188
2,D,2,standard,Std 4,2,0.11,0.188
