date,plate_number,row,column,protein_source,sample_ID,replicate,absorbance_595,concentration_ug_ml
11/2,3,A,1,standard,BSA_0,1,0.318,0
11/2,3,A,2,standard,BSA_0,2,0.325,0
11/2,3,A,3,standard,BSA_0,3,0.336,0
11/2,3,B,1,standard,BSA_50,1,0.365,50
11/2,3,B,2,standard,BSA_50,2,0.372,50
11/2,3,B,3,standard,BSA_50,3,0.356,50
11/2,3,C,1,standard,BSA_100,1,0.422,100
11/2,3,C,2,standard,BSA_100,2,0.389,100
11/2,3,C,3,standard,BSA_100,3,0.39,100
11/2,3,D,1,standard,BSA_300,1,0.529,300
11/2,3,D,2,standard,BSA_300,2,0.527,300
11/2,3,D,3,standard,BSA_300,3,0.53,300
11/2,3,E,1,standard,BSA_500,1,0.693,500
11/2,3,E,2,standard,BSA_500,2,0.701,500
11/2,3,E,3,standard,BSA_500,3,0.664,500
11/2,3,F,1,standard,BSA_750,1,0.784,750
11/2,3,F,2,standard,BSA_750,2,0.81,750
11/2,3,F,3,standard,BSA_750,3,0.707,750
11/2,3,G,1,standard,BSA_1000,1,0.739,1000
11/2,3,G,2,standard,BSA_1000,2,0.883,1000
11/2,3,G,3,standard,BSA_1000,3,0.835,1000
11/2,3,H,1,standard,BSA_2000,1,0.923,2000
11/2,3,H,2,standard,BSA_2000,2,1.135,2000
11/2,3,H,3,standard,BSA_2000,3,1.112,2000
11/2,3,A,4,sample,SSIDF3_1,1,0.501,
11/2,3,A,5,sample,SSIDF3_1,2,0.546,
11/2,3,A,6,sample,SSIDF3_1,3,0.553,
11/2,3,B,4,sample,SSIDF18_1,1,0.395,
11/2,3,B,5,sample,SSIDF18_1,2,0.429,
11/2,3,B,6,sample,SSIDF18_1,3,0.433,
11/2,3,C,4,sample,SSIDF20_3,1,0.726,
11/2,3,C,5,sample,SSIDF20_3,2,0.687,
11/2,3,C,6,sample,SSIDF20_3,3,0.686,
11/2,3,D,4,sample,SSIDS5_1,1,0.494,
11/2,3,D,5,sample,SSIDS5_1,2,0.461,
11/2,3,D,6,sample,SSIDS5_1,3,0.517,
11/2,3,E,4,sample,SSIDS23_1,1,0.601,
11/2,3,E,5,sample,SSIDS23_1,2,0.567,
11/2,3,E,6,sample,SSIDS23_1,3,0.585,
11/2,3,F,4,sample,SSID118_1,1,0.518,
11/2,3,F,5,sample,SSID118_1,2,0.496,
11/2,3,F,6,sample,SSID118_1,3,0.512,
11/2,3,G,4,sample,SSID15_1,1,0.436,
11/2,3,G,5,sample,SSID15_1,2,0.411,
11/2,3,G,6,sample,SSID15_1,3,0.447,
11/2,3,H,4,sample,SSID418_1,1,0.422,
11/2,3,H,5,sample,SSID418_1,2,0.436,
11/2,3,H,6,sample,SSID418_1,3,0.408,
11/2,3,A,7,sample,SSID42_1,1,0.665,
11/2,3,A,8,sample,SSID42_1,2,0.599,
11/2,3,A,9,sample,SSID42_1,3,0.658,
11/2,3,B,7,sample,SSID423_1,1,0.509,
11/2,3,B,8,sample,SSID423_1,2,0.488,
11/2,3,B,9,sample,SSID423_1,3,0.521,
11/2,3,C,7,sample,SSID517_1,1,0.402,
11/2,3,C,8,sample,SSID517_1,2,0.414,
11/2,3,C,9,sample,SSID517_1,3,0.409,
11/2,3,D,7,sample,SSID518_1,1,0.49,
11/2,3,D,8,sample,SSID518_1,2,0.461,
11/2,3,D,9,sample,SSID518_1,3,0.496,
11/2,3,E,7,sample,SSID524_1,1,0.553,
11/2,3,E,8,sample,SSID524_1,2,0.531,
11/2,3,E,9,sample,SSID524_1,3,0.562,
11/2,3,F,7,sample,SSID54_1,1,0.515,
11/2,3,F,8,sample,SSID54_1,2,0.563,
11/2,3,F,9,sample,SSID54_1,3,0.541,
11/2,3,G,7,sample,SSID615_1,1,0.409,
11/2,3,G,8,sample,SSID615_1,2,0.432,
11/2,3,G,9,sample,SSID615_1,3,0.414,
11/2,3,H,7,sample,SSID617_1,1,0.376,
11/2,3,H,8,sample,SSID617_1,2,0.399,
11/2,3,H,9,sample,SSID617_1,3,0.385,
11/2,3,A,10,sample,SSID624_1,1,0.404,
11/2,3,A,11,sample,SSID624_1,2,0.413,
11/2,3,A,12,sample,SSID624_1,3,0.348,
11/2,3,B,10,sample,PSTRF30_1,1,0.56,
11/2,3,B,11,sample,PSTRF30_1,2,0.51,
11/2,3,B,12,sample,PSTRF30_1,3,0.415,
11/2,3,C,10,sample,PSTRF46_1,1,0.45,
11/2,3,C,11,sample,PSTRF46_1,2,0.473,
11/2,3,C,12,sample,PSTRF46_1,3,0.398,
11/2,3,D,10,sample,PSTR110_1,1,0.389,
11/2,3,D,11,sample,PSTR110_1,2,0.38,
11/2,3,D,12,sample,PSTR110_1,3,0.358,
11/2,3,E,10,sample,PSTR117_1,1,0.382,
11/2,3,E,11,sample,PSTR117_1,2,0.381,
11/2,3,E,12,sample,PSTR117_1,3,0.323,
11/2,3,F,10,sample,SSID123_1,1,0.578,
11/2,3,F,11,sample,SSID123_1,2,0.501,
11/2,3,F,12,sample,SSID123_1,3,0.491,
11/2,3,G,10,sample,PSTR14_1,1,0.521,
11/2,3,G,11,sample,PSTR14_1,2,0.453,
11/2,3,G,12,sample,PSTR14_1,3,0.478,
11/2,3,H,10,sample,PSTR318_1,1,0.325,
11/2,3,H,11,sample,PSTR318_1,2,0.307,
11/2,3,H,12,sample,PSTR318_1,3,0.33,
11/2,4,A,1,standard,BSA_0,1,0.335,0
11/2,4,A,2,standard,BSA_0,2,0.339,0
11/2,4,A,3,standard,BSA_0,3,0.331,0
11/2,4,B,1,standard,BSA_50,1,0.376,50
11/2,4,B,2,standard,BSA_50,2,0.377,50
11/2,4,B,3,standard,BSA_50,3,0.378,50
11/2,4,C,1,standard,BSA_100,1,0.439,100
11/2,4,C,2,standard,BSA_100,2,0.432,100
11/2,4,C,3,standard,BSA_100,3,0.432,100
11/2,4,D,1,standard,BSA_300,1,0.63,300
11/2,4,D,2,standard,BSA_300,2,0.618,300
11/2,4,D,3,standard,BSA_300,3,0.616,300
11/2,4,E,1,standard,BSA_500,1,0.772,500
11/2,4,E,2,standard,BSA_500,2,0.728,500
11/2,4,E,3,standard,BSA_500,3,0.731,500
11/2,4,F,1,standard,BSA_750,1,0.863,750
11/2,4,F,2,standard,BSA_750,2,0.839,750
11/2,4,F,3,standard,BSA_750,3,0.863,750
