sample_ID,total_tissue_slurry_volume_ml
PSTR110_1,20
PSTR117_1,20
PSTR14_1,20
PSTR318_1,20
PSTR34_3,10
PSTR43_1,20
PSTR510_1,20
PSTRS14_1,20
PSTR519_1,15
PSTR55_1,14
PSTR57_1,15
PSTR625_1,14
PSTR64_1,20
PSTR68_1,20
PSTRF30_1,12.5
PSTRF46_1,17
SSID118_1,17
SSID123_1,20
SSID15_1,18
SSID418_1,14
SSID42_1,18
SSID423_1,12.5
SSID517_1,17
SSID518_1,15
SSID524_1,20
SSID54_1,20
SSID615_1,20
SSID617_1,18
SSID624_1,20
SSIDF18_1,19
SSIDF20_3,15
SSIDF3_1,16
SSIDS23_1,17
SSIDS5_1,18
