date,plate_number,row,column,protein_source,sample_ID,replicate,absorbance_595,concentration_ug_ml
11/9,5,A,1,standard,BSA_0,1,0.327,0
11/9,5,A,2,standard,BSA_0,2,0.329,0
11/9,5,A,3,standard,BSA_0,3,0.327,0
11/9,5,B,1,standard,BSA_25,1,0.373,25
11/9,5,B,2,standard,BSA_25,2,0.37,25
11/9,5,B,3,standard,BSA_25,3,0.381,25
11/9,5,C,1,standard,BSA_50,1,0.43,50
11/9,5,C,2,standard,BSA_50,2,0.435,50
11/9,5,C,3,standard,BSA_50,3,0.434,50
11/9,5,D,1,standard,BSA_100,1,0.572,100
11/9,5,D,2,standard,BSA_100,2,0.555,100
11/9,5,D,3,standard,BSA_100,3,0.536,100
11/9,5,E,1,standard,BSA_300,1,0.814,300
11/9,5,E,2,standard,BSA_300,2,0.824,300
11/9,5,E,3,standard,BSA_300,3,0.831,300
11/9,5,F,1,standard,BSA_500,1,1.022,500
11/9,5,F,2,standard,BSA_500,2,1.015,500
11/9,5,F,3,standard,BSA_500,3,1.021,500
11/9,5,G,1,standard,BSA_750,1,1.131,750
11/9,5,G,2,standard,BSA_750,2,1.143,750
11/9,5,G,3,standard,BSA_750,3,1.054,750
11/9,5,H,1,standard,BSA_1000,1,1.252,1000
11/9,5,H,2,standard,BSA_1000,2,1.251,1000
11/9,5,H,3,standard,BSA_1000,3,1.26,1000
11/9,5,A,4,standard,BSA_2000,1,1.396,2000
11/9,5,A,5,standard,BSA_2000,2,1.393,2000
11/9,5,A,6,standard,BSA_2000,3,1.402,2000
11/9,5,B,4,sample,PSTR318_1,1,0.405,
11/9,5,B,5,sample,PSTR318_1,2,0.411,
11/9,5,B,6,sample,PSTR318_1,3,0.411,
11/9,5,C,4,sample,PSTR117_1,1,0.418,
11/9,5,C,5,sample,PSTR117_1,2,0.418,
11/9,5,C,6,sample,PSTR117_1,3,0.41,
11/9,5,D,4,sample,PSTR110_1,1,0.498,
11/9,5,D,5,sample,PSTR110_1,2,0.512,
11/9,5,D,6,sample,PSTR110_1,3,0.518,
11/9,5,E,4,sample,SSID624_1,1,0.563,
11/9,5,E,5,sample,SSID624_1,2,0.562,
11/9,5,E,6,sample,SSID624_1,3,0.569,
11/9,5,F,4,sample,PSTR514_1,1,0.445,
11/9,5,F,5,sample,PSTR514_1,2,0.455,
11/9,5,F,6,sample,PSTR514_1,3,0.459,
