Material,sample_ID,ash_free_dry_weight_g,dry_weight_volume_ml,total_volume_ml,total_dry_weight_g
tissue,PSTR110_1,0.0118,18.8,20,0.01255319149
tissue,PSTR117_1,0.0225,18.8,20,0.02393617021
tissue,PSTR14_1,0.0308,18.8,20,0.03276595745
tissue,PSTR318_1,0.0063,18.8,20,0.00670212766
tissue,PSTR34_3,0.0322,8.8,10,0.03659090909
tissue,PSTR43_1,0.0413,18.8,20,0.04393617021
tissue,PSTR510_1,0.0177,18.8,20,0.01882978723
tissue,PSTR519_1,0.0227,13.8,15,0.02467391304
tissue,PSTR55_1,0.0209,12.8,14,0.022859375
tissue,PSTR57_1,0.021,13.8,15,0.02282608696
tissue,PSTR625_1,0.0196,12.8,14,0.0214375
tissue,PSTR64_1,0.02,18.8,20,0.02127659574
tissue,PSTR68_1,0.0208,18.8,20,0.02212765957
tissue,PSTRF30_1,0.0443,11.3,12.5,0.04900442478
tissue,PSTRF46_1,0.027,15.8,17,0.02905063291
tissue,PSTRS14_1,0.0058,18.8,20,0.006170212766
tissue,SSID118_1,0.0245,15.8,17,0.02636075949
tissue,SSID123_1,0.0291,18.8,20,0.03095744681
tissue,SSID15_1,0.0116,16.8,18,0.01242857143
tissue,SSID418_1,0.012,12.8,14,0.013125
tissue,SSID42_1,0.0567,16.65,18,0.0612972973
tissue,SSID423_1,0.0245,11.3,12.5,0.02710176991
tissue,SSID517_1,0.0122,15.8,17,0.01312658228
tissue,SSID518_1,0.0269,13.8,15,0.02923913043
tissue,SSID524_1,0.0317,18.8,20,0.03372340426
tissue,SSID54_1,0.0248,18.8,20,0.02638297872
tissue,SSID615_1,0.0177,18.8,20,0.01882978723
tissue,SSID617_1,0.0145,16.8,18,0.01553571429
tissue,SSID624_1,0.0134,18.8,20,0.01425531915
tissue,SSIDF18_1,0.0114,17.8,19,0.01216853933
tissue,SSIDF20_3,0.0513,13.65,15,0.05637362637
tissue,SSIDF3_1,0.0258,14.8,16,0.02789189189
tissue,SSIDS23_1,0.0356,15.8,17,0.03830379747
tissue,SSIDS5_1,0.0258,16.8,18,0.02764285714
