sample_ID,standard_area_cm2,avg_standard_area_pixels,avg_sa_fragment_pixels,sample_area_cm2
PSTR110_1,4.237,56357,28790,2.164473446
PSTR110_2,4.237,56810.66667,24502,1.827385245
PSTR117_1,4.237,56112,38107.66667,2.877498283
PSTR117_2,4.237,56597.33333,32765.33333,2.452884423
PSTR14_1,4.237,54872.66667,33674.33333,2.600167971
PSTR14_3,4.237,55576.66667,15685,1.195777814
PSTR318_1,4.237,53645.33333,30270,2.390776271
PSTR318_3,4.237,53628,26056.66667,2.058665187
PSTR34_2,4.237,55982.66667,47643.33333,3.605844726
PSTR34_3,4.237,55754,63387.66667,4.817117044
PSTR43_1,4.237,56112,50280,3.796627459
PSTR43_2,4.237,55950.66667,27895,2.112416563
PSTR510_1,4.237,56305,30838,2.3205862
PSTR510_2,4.237,55965.66667,28437.66667,2.152934126
PSTR519_1,4.237,57834.66667,35918.33333,2.631397172
PSTR519_2,4.237,57705.33333,40090,2.943598454
PSTR55_1,4.237,57430,43347.66667,3.198050908
PSTR55_2,4.237,56627,30753.66667,2.301080503
PSTR57_1,4.237,53938.66667,36589.33333,2.874171998
PSTR57_3,4.237,54735,27838,2.154921093
PSTR625_1,4.237,55770.33333,25510.33333,1.938078471
PSTR625_2,4.237,54892.66667,21936.66667,1.693225385
PSTR64_1,4.237,55724.66667,41298.33333,3.140100225
PSTR64_2,4.237,55796,32717.33333,2.484467369
PSTR68_1,4.237,54374.66667,57713,4.497130667
PSTR68_3,4.237,53300,24731,1.965952101
PSTRF30_1,4.237,57226.33333,63135.33333,4.674498465
PSTRF30_2,4.237,56597.33333,20755.66667,1.553814544
PSTRF46_1,4.237,55608,40518,3.087231442
PSTRF46_2,4.237,56224,31182.33333,2.349878101
PSTRS14_1,4.237,56743,29109.33333,2.173594017
PSTRS14_3,4.237,55433.33333,30552.66667,2.335267264
SSID118_1,4.237,55166.66667,33704,2.58858939
SSID118_3,4.237,55709.33333,19120,1.454180748
SSID123_1,4.237,56672.33333,36823,2.75300207
SSID123_2,4.237,55664,30867.66667,2.349567111
SSID15_1,4.237,56710,40753.33333,3.044822312
SSID15_3,4.237,56853,18716.33333,1.394844675
SSID418_1,4.237,54500,18690.66667,1.453070728
SSID418_2,4.237,54004,26612.33333,2.087927863
SSID42_1,4.237,57090.66667,48776.66667,3.619974135
SSID42_3,4.237,56368,28210.33333,2.120479391
SSID423_1,4.237,58001.33333,49552,3.619775821
SSID423_3,4.237,55944,32427,2.455905888
SSID517_1,4.237,55901.33333,22694.33333,1.720100123
SSID517_2,4.237,55338.33333,28690,2.196660482
SSID518_1,4.237,58112.33333,37260.66667,2.716694299
SSID518_3,4.237,57986.66667,28233.33333,2.062967924
SSID524_1,4.237,56004,56858,4.301609635
SSID524_3,4.237,56448,39401,2.957448218
SSID54_1,4.237,56383.66667,24432.66667,1.836014129
SSID54_3,4.237,57985.33333,31335.66667,2.289703482
SSID615_1,4.237,55776,44230.33333,3.359938367
SSID615_2,4.237,55440,32022.66667,2.447331145
SSID617_1,4.237,55700.33333,33013.66667,2.511275917
SSID617_3,4.237,55212,27527.66667,2.112488656
SSID624_1,4.237,57975,27919.66667,2.040459296
SSID624_3,4.237,56201.33333,23658,1.783568824
SSIDF18_1,4.237,55671.66667,26848.33333,2.0433444
SSIDF18_2,4.237,56153,22356.33333,1.686887332
SSIDF20_2,4.237,55313.33333,42104,3.225165385
SSIDF20_3,4.237,55331.66667,49964,3.825973096
SSIDF3_1,4.237,55628,38422.66667,2.926526905
SSIDF3_3,4.237,55583.66667,22941.66667,1.748784265
SSIDS23_1,4.237,57173.33333,53702.33333,3.979771216
SSIDS23_2,4.237,56871.66667,42808.33333,3.189266624
SSIDS5_1,4.237,53854.66667,41302.33333,3.249448881
SSIDS5_2,4.237,53813,48015,3.780490867
