treatment,sample_ID,species
Transplant to OS,PSTR110_1,PSTR
Transplant to OS,PSTR110_2,PSTR
Native OS,PSTR117_1,PSTR
Native OS,PSTR117_2,PSTR
Native NS,PSTR14_1,PSTR
Native NS,PSTR14_3,PSTR
Native OS,PSTR318_1,PSTR
Native OS,PSTR318_3,PSTR
Native NS,PSTR34_2,PSTR
Native NS,PSTR34_3,PSTR
Native NS,PSTR43_1,PSTR
Native NS,PSTR43_2,PSTR
Transplant to OS,PSTR510_1,PSTR
Transplant to OS,PSTR510_2,PSTR
Native OS,PSTR519_1,PSTR
Native OS,PSTR519_2,PSTR
Native NS,PSTR55_1,PSTR
Native NS,PSTR55_2,PSTR
Transplant to OS,PSTR57_1,PSTR
Transplant to OS,PSTR57_3,PSTR
Transplant to NS,PSTR625_1,PSTR
Transplant to NS,PSTR625_2,PSTR
Native NS,PSTR64_1,PSTR
Native NS,PSTR64_2,PSTR
Transplant to OS,PSTR68_1,PSTR
Transplant to OS,PSTR68_3,PSTR
na,PSTRF30_1,PSTR
na,PSTRF30_2,PSTR
na,PSTRF46_1,PSTR
na,PSTRF46_2,PSTR
na,PSTRS14_1,PSTR
na,PSTRS14_3,PSTR
Native OS,SSID118_1,SSID
Native OS,SSID118_3,SSID
Transplant to NS,SSID123_1,SSID
Transplant to NS,SSID123_2,SSID
Native NS,SSID15_1,SSID
Native NS,SSID15_3,SSID
Native OS,SSID418_1,SSID
Native OS,SSID418_2,SSID
Native NS,SSID42_1,SSID
Native NS,SSID42_3,SSID
Transplant to NS,SSID423_1,SSID
Transplant to NS,SSID423_3,SSID
Native OS,SSID517_1,SSID
Native OS,SSID517_2,SSID
Native OS,SSID518_1,SSID
Native OS,SSID518_3,SSID
Transplant to NS,SSID524_1,SSID
Transplant to NS,SSID524_3,SSID
Native NS,SSID54_1,SSID
Native NS,SSID54_3,SSID
Native OS,SSID615_1,SSID
Native OS,SSID615_2,SSID
Native OS,SSID617_1,SSID
Native OS,SSID617_3,SSID
Transplant to NS,SSID624_1,SSID
Transplant to NS,SSID624_3,SSID
Native NS,SSIDF18_1,SSID
Native NS,SSIDF18_2,SSID
na,SSIDF20_2,SSID
na,SSIDF20_3,SSID
Native NS,SSIDF3_1,SSID
Native NS,SSIDF3_3,SSID
na,SSIDS23_1,SSID
na,SSIDS23_2,SSID
na,SSIDS5_1,SSID
na,SSIDS5_2,SSID
