"","time","latitude","longitude","analysed_sst","analysis_error","mask","sea_ice_fraction","sst_anomaly"
"1","2002-09-02T09:00:00Z",16.375,-88.375,29.436,0.39,1,NA,-0.5
"2","2002-09-03T09:00:00Z",16.375,-88.375,29.365,0.39,1,NA,-0.518
"3","2002-09-04T09:00:00Z",16.375,-88.375,29.436,0.39,1,NA,-0.439
"4","2002-09-05T09:00:00Z",16.375,-88.375,29.836,0.4,1,NA,-0.025
"5","2002-09-06T09:00:00Z",16.375,-88.375,29.918,0.39,1,NA,-0.109
"6","2002-09-07T09:00:00Z",16.375,-88.375,30.072,0.39,1,NA,0.088
"7","2002-09-08T09:00:00Z",16.375,-88.375,30.403,0.37,1,NA,0.375
"8","2002-09-09T09:00:00Z",16.375,-88.375,30.465,0.36,1,NA,0.353
"9","2002-09-10T09:00:00Z",16.375,-88.375,30.402,0.36,1,NA,0.336
"10","2002-09-11T09:00:00Z",16.375,-88.375,30.183,0.37,1,NA,0.212
"11","2002-09-12T09:00:00Z",16.375,-88.375,29.895,0.39,1,NA,0.004
"12","2002-09-13T09:00:00Z",16.375,-88.375,30.009,0.38,1,NA,-0.022
"13","2002-09-14T09:00:00Z",16.375,-88.375,29.996,0.38,1,NA,-0.134
"14","2002-09-15T09:00:00Z",16.375,-88.375,29.989,0.39,1,NA,-0.036
"15","2002-09-16T09:00:00Z",16.375,-88.375,30.185,0.39,1,NA,0.034
"16","2002-09-17T09:00:00Z",16.375,-88.375,30.25,0.39,1,NA,0.203
"17","2002-09-18T09:00:00Z",16.375,-88.375,30.444,0.36,1,NA,0.416
"18","2002-09-19T09:00:00Z",16.375,-88.375,30.47,0.36,1,NA,0.486
"19","2002-09-20T09:00:00Z",16.375,-88.375,30.405,0.37,1,NA,0.436
"20","2002-09-21T09:00:00Z",16.375,-88.375,30.237,0.4,1,NA,0.419
"21","2002-09-22T09:00:00Z",16.375,-88.375,30.12,0.41,1,NA,0.429
"22","2002-09-23T09:00:00Z",16.375,-88.375,30.702,0.41,1,NA,0.914
"23","2002-09-24T09:00:00Z",16.375,-88.375,30.385,0.41,1,NA,0.662
"24","2002-09-25T09:00:00Z",16.375,-88.375,29.645,0.41,1,NA,0.016
"25","2002-09-26T09:00:00Z",16.375,-88.375,29.431,0.39,1,NA,-0.109
"26","2002-09-27T09:00:00Z",16.375,-88.375,29.396,0.39,1,NA,-0.103
"27","2002-09-28T09:00:00Z",16.375,-88.375,29.444,0.4,1,NA,-0.283
"28","2002-09-29T09:00:00Z",16.375,-88.375,29.406,0.41,1,NA,-0.227
"29","2002-09-30T09:00:00Z",16.375,-88.375,29.199,0.41,1,NA,-0.382
"30","2002-10-01T09:00:00Z",16.375,-88.375,29.301,0.4,1,NA,-0.255
"31","2002-12-01T09:00:00Z",16.375,-88.375,27.293,0.38,1,NA,0.098
"32","2002-12-02T09:00:00Z",16.375,-88.375,27.324,0.38,1,NA,0.163
"33","2002-12-03T09:00:00Z",16.375,-88.375,27.101,0.39,1,NA,0.14
"34","2002-12-04T09:00:00Z",16.375,-88.375,26.823,0.39,1,NA,-0.239
"35","2002-12-05T09:00:00Z",16.375,-88.375,26.878,0.39,1,NA,-0.126
"36","2002-12-06T09:00:00Z",16.375,-88.375,26.947,0.39,1,NA,-0.004
"37","2002-12-07T09:00:00Z",16.375,-88.375,26.926,0.38,1,NA,-0.095
"38","2002-12-08T09:00:00Z",16.375,-88.375,26.807,0.39,1,NA,-0.168
"39","2002-12-09T09:00:00Z",16.375,-88.375,26.604,0.4,1,NA,-0.309
"40","2002-12-10T09:00:00Z",16.375,-88.375,26.697,0.38,1,NA,-0.266
"41","2002-12-11T09:00:00Z",16.375,-88.375,26.855,0.39,1,NA,-0.185
"42","2002-12-12T09:00:00Z",16.375,-88.375,27.13,0.38,1,NA,0.249
"43","2002-12-13T09:00:00Z",16.375,-88.375,27.236,0.37,1,NA,0.351
"44","2002-12-14T09:00:00Z",16.375,-88.375,26.934,0.38,1,NA,0.183
"45","2002-12-15T09:00:00Z",16.375,-88.375,26.686,0.4,1,NA,-0.069
"46","2002-12-16T09:00:00Z",16.375,-88.375,26.655,0.41,1,NA,-0.081
"47","2002-12-17T09:00:00Z",16.375,-88.375,26.681,0.38,1,NA,-0.152
"48","2002-12-18T09:00:00Z",16.375,-88.375,26.712,0.37,1,NA,-0.049
"49","2002-12-19T09:00:00Z",16.375,-88.375,26.624,0.38,1,NA,0.008
"50","2002-12-20T09:00:00Z",16.375,-88.375,26.752,0.39,1,NA,0.309
"51","2002-12-21T09:00:00Z",16.375,-88.375,26.781,0.39,1,NA,0.309
"52","2002-12-22T09:00:00Z",16.375,-88.375,26.553,0.4,1,NA,-0.098
"53","2002-12-23T09:00:00Z",16.375,-88.375,26.766,0.39,1,NA,0.111
"54","2002-12-24T09:00:00Z",16.375,-88.375,27.144,0.38,1,NA,0.465
"55","2002-12-25T09:00:00Z",16.375,-88.375,27.215,0.37,1,NA,0.543
"56","2002-12-26T09:00:00Z",16.375,-88.375,27.102,0.38,1,NA,0.488
"57","2002-12-27T09:00:00Z",16.375,-88.375,26.787,0.39,1,NA,0.236
"58","2002-12-28T09:00:00Z",16.375,-88.375,26.163,0.4,1,NA,-0.294
"59","2002-12-29T09:00:00Z",16.375,-88.375,26.169,0.39,1,NA,-0.362
"60","2002-12-30T09:00:00Z",16.375,-88.375,26.224,0.38,1,NA,-0.299
"61","2002-12-31T09:00:00Z",16.375,-88.375,26.318,0.38,1,NA,-0.206
"62","2003-01-01T09:00:00Z",16.375,-88.375,26.126,0.39,1,NA,-0.55
"63","2003-01-02T09:00:00Z",16.375,-88.375,25.969,0.38,1,NA,-0.648
"64","2003-01-03T09:00:00Z",16.375,-88.375,25.985,0.4,1,NA,-0.514
"65","2003-01-04T09:00:00Z",16.375,-88.375,25.919,0.41,1,NA,-0.459
"66","2003-01-05T09:00:00Z",16.375,-88.375,26.129,0.41,1,NA,-0.082
"67","2003-01-06T09:00:00Z",16.375,-88.375,25.843,0.41,1,NA,-0.37
"68","2003-01-07T09:00:00Z",16.375,-88.375,25.533,0.41,1,NA,-0.7
"69","2003-01-08T09:00:00Z",16.375,-88.375,25.751,0.39,1,NA,-0.494
"70","2003-01-09T09:00:00Z",16.375,-88.375,25.783,0.37,1,NA,-0.374
"71","2003-01-10T09:00:00Z",16.375,-88.375,25.685,0.38,1,NA,-0.493
"72","2003-01-11T09:00:00Z",16.375,-88.375,25.669,0.4,1,NA,-0.573
"73","2003-01-12T09:00:00Z",16.375,-88.375,25.727,0.41,1,NA,-0.501
"74","2003-01-13T09:00:00Z",16.375,-88.375,25.533,0.41,1,NA,-0.701
"75","2003-01-14T09:00:00Z",16.375,-88.375,25.737,0.41,1,NA,-0.486
"76","2003-01-15T09:00:00Z",16.375,-88.375,25.7,0.41,1,NA,-0.362
"77","2003-01-16T09:00:00Z",16.375,-88.375,25.483,0.41,1,NA,-0.42
"78","2003-01-17T09:00:00Z",16.375,-88.375,25.402,0.4,1,NA,-0.478
"79","2003-01-18T09:00:00Z",16.375,-88.375,25.307,0.41,1,NA,-0.598
"80","2003-01-19T09:00:00Z",16.375,-88.375,25.305,0.41,1,NA,-0.77
"81","2003-01-20T09:00:00Z",16.375,-88.375,25.478,0.41,1,NA,-0.682
"82","2003-01-21T09:00:00Z",16.375,-88.375,25.431,0.41,1,NA,-0.756
"83","2003-01-22T09:00:00Z",16.375,-88.375,25.439,0.39,1,NA,-0.752
"84","2003-01-23T09:00:00Z",16.375,-88.375,25.448,0.38,1,NA,-0.777
"85","2003-01-24T09:00:00Z",16.375,-88.375,25.012,0.41,1,NA,-1.215
"86","2003-01-25T09:00:00Z",16.375,-88.375,24.234,0.39,1,NA,-1.8
"87","2003-01-26T09:00:00Z",16.375,-88.375,24.276,0.37,1,NA,-1.625
"88","2003-01-27T09:00:00Z",16.375,-88.375,24.142,0.38,1,NA,-1.604
"89","2003-01-28T09:00:00Z",16.375,-88.375,24.123,0.4,1,NA,-1.613
"90","2003-01-29T09:00:00Z",16.375,-88.375,25.766,0.41,1,NA,-0.042
"91","2003-01-30T09:00:00Z",16.375,-88.375,26.003,0.41,1,NA,0.033
"92","2003-01-31T09:00:00Z",16.375,-88.375,26.095,0.41,1,NA,0.022
"93","2003-02-01T09:00:00Z",16.375,-88.375,25.247,0.41,1,NA,-0.825
"94","2003-03-01T09:00:00Z",16.375,-88.375,27.332,0.38,1,NA,0.628
"95","2003-03-02T09:00:00Z",16.375,-88.375,27.284,0.37,1,NA,0.694
"96","2003-03-03T09:00:00Z",16.375,-88.375,27.253,0.38,1,NA,0.648
"97","2003-03-04T09:00:00Z",16.375,-88.375,27.385,0.39,1,NA,0.748
"98","2003-03-05T09:00:00Z",16.375,-88.375,27.61,0.39,1,NA,0.96
"99","2003-03-06T09:00:00Z",16.375,-88.375,27.754,0.38,1,NA,0.994
"100","2003-03-07T09:00:00Z",16.375,-88.375,27.865,0.38,1,NA,1.191
"101","2003-03-08T09:00:00Z",16.375,-88.375,27.875,0.38,1,NA,1.174
"102","2003-03-09T09:00:00Z",16.375,-88.375,27.821,0.38,1,NA,1.036
"103","2003-03-10T09:00:00Z",16.375,-88.375,27.603,0.38,1,NA,0.847
"104","2003-03-11T09:00:00Z",16.375,-88.375,27.539,0.38,1,NA,0.751
"105","2003-03-12T09:00:00Z",16.375,-88.375,27.366,0.39,1,NA,0.537
"106","2003-03-13T09:00:00Z",16.375,-88.375,27.507,0.39,1,NA,0.705
"107","2003-03-14T09:00:00Z",16.375,-88.375,27.748,0.38,1,NA,0.841
"108","2003-03-15T09:00:00Z",16.375,-88.375,27.803,0.39,1,NA,0.984
"109","2003-03-16T09:00:00Z",16.375,-88.375,28.217,0.4,1,NA,1.344
"110","2003-03-17T09:00:00Z",16.375,-88.375,28.531,0.39,1,NA,1.521
"111","2003-03-18T09:00:00Z",16.375,-88.375,28.427,0.38,1,NA,1.34
"112","2003-03-19T09:00:00Z",16.375,-88.375,28.383,0.37,1,NA,1.184
"113","2003-03-20T09:00:00Z",16.375,-88.375,28.497,0.37,1,NA,1.311
"114","2003-03-21T09:00:00Z",16.375,-88.375,28.507,0.37,1,NA,1.286
"115","2003-03-22T09:00:00Z",16.375,-88.375,28.328,0.38,1,NA,1.27
"116","2003-03-23T09:00:00Z",16.375,-88.375,28.353,0.38,1,NA,1.207
"117","2003-03-24T09:00:00Z",16.375,-88.375,28.441,0.39,1,NA,1.255
"118","2003-03-25T09:00:00Z",16.375,-88.375,28.323,0.4,1,NA,1.145
