date,Temp_C,year,month,day,hour,min,sec
04/18/2015 18:00:00,30.117,2015,4,18,18,0,0
04/18/2015 19:00:00,29.84,2015,4,18,19,0,0
04/18/2015 20:00:00,29.439,2015,4,18,19,59,59
04/18/2015 21:00:00,29.065,2015,4,18,21,0,0
04/18/2015 22:00:00,28.742,2015,4,18,22,0,0
04/18/2015 23:00:00,28.667,2015,4,18,22,59,59
04/19/2015 0:00:00,28.617,2015,4,19,,,
04/19/2015 1:00:00,28.593,2015,4,19,1,0,0
04/19/2015 2:00:00,28.518,2015,4,19,1,59,59
04/19/2015 3:00:00,28.493,2015,4,19,3,0,0
04/19/2015 4:00:00,28.493,2015,4,19,4,0,0
04/19/2015 5:00:00,28.468,2015,4,19,4,59,59
04/19/2015 6:00:00,28.468,2015,4,19,6,0,0
04/19/2015 7:00:00,28.468,2015,4,19,7,0,0
04/19/2015 8:00:00,28.468,2015,4,19,7,59,59
04/19/2015 9:00:00,28.444,2015,4,19,9,0,0
04/19/2015 10:00:00,28.493,2015,4,19,10,0,0
04/19/2015 11:00:00,28.617,2015,4,19,10,59,59
04/19/2015 12:00:00,28.766,2015,4,19,12,0,0
04/19/2015 13:00:00,28.965,2015,4,19,13,0,0
04/19/2015 14:00:00,29.315,2015,4,19,13,59,59
04/19/2015 15:00:00,29.615,2015,4,19,15,0,0
04/19/2015 16:00:00,29.84,2015,4,19,16,0,0
04/19/2015 17:00:00,30.041,2015,4,19,16,59,59
04/19/2015 18:00:00,30.117,2015,4,19,18,0,0
04/19/2015 19:00:00,29.815,2015,4,19,19,0,0
04/19/2015 20:00:00,29.765,2015,4,19,19,59,59
04/19/2015 21:00:00,29.09,2015,4,19,21,0,0
04/19/2015 22:00:00,28.99,2015,4,19,22,0,0
04/19/2015 23:00:00,28.866,2015,4,19,22,59,59
04/20/2015 0:00:00,28.816,2015,4,20,,,
04/20/2015 1:00:00,28.766,2015,4,20,1,0,0
04/20/2015 2:00:00,28.717,2015,4,20,1,59,59
04/20/2015 3:00:00,28.667,2015,4,20,3,0,0
