timepoint,bw_date,ID,species,colony,coralID,colony_ID,home_reef,transplant_reef,collection_site,transplant_site,transplant,pale or bleached,partial mortality,mortality,months,mort,tod
T0,12/11/17,PSTR 1 10,PSTR,P1,10,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,NA
T1,3/7/18,PSTR 1 10,PSTR,P1,10,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,Y,alive,3,0,NA
T2,9/26/18,PSTR 1 10,PSTR,P1,10,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,9,0,NA
T3,5/31/19,PSTR 1 10,PSTR,P1,10,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,17,0,NA
T4,8/10/23,PSTR 1 10,PSTR,P1,10,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,60,0,NA
T0,12/11/17,PSTR 1 11,PSTR,P1,11,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,60
T1,3/7/18,PSTR 1 11,PSTR,P1,11,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,60
T2,9/26/18,PSTR 1 11,PSTR,P1,11,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,9,0,60
T3,5/31/19,PSTR 1 11,PSTR,P1,11,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 1 11,PSTR,P1,11,NSP1,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,dead,60,1,60
T0,12/12/17,PSTR 1 16,PSTR,P1,16,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,PSTR 1 16,PSTR,P1,16,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,60
T2,9/26/18,PSTR 1 16,PSTR,P1,16,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,60
T3,5/31/19,PSTR 1 16,PSTR,P1,16,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,PSTR 1 16,PSTR,P1,16,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/12/17,PSTR 1 17,PSTR,P1,17,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,NA
T1,3/6/18,PSTR 1 17,PSTR,P1,17,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,NA
T2,9/26/18,PSTR 1 17,PSTR,P1,17,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,NA
T3,5/31/19,PSTR 1 17,PSTR,P1,17,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,NA
T4,8/10/23,PSTR 1 17,PSTR,P1,17,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,60,0,NA
T0,12/12/17,PSTR 1 18,PSTR,P1,18,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,PSTR 1 18,PSTR,P1,18,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,60
T2,9/26/18,PSTR 1 18,PSTR,P1,18,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,60
T3,5/31/19,PSTR 1 18,PSTR,P1,18,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,PSTR 1 18,PSTR,P1,18,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/12/17,PSTR 1 19,PSTR,P1,19,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,NA
T1,3/6/18,PSTR 1 19,PSTR,P1,19,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,NA
T2,9/26/18,PSTR 1 19,PSTR,P1,19,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,NA
T3,5/31/19,PSTR 1 19,PSTR,P1,19,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,NA
T4,8/10/23,PSTR 1 19,PSTR,P1,19,OSP1,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,60,0,NA
T0,12/12/17,PSTR 1 22,PSTR,P1,22,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 1 22,PSTR,P1,22,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 1 22,PSTR,P1,22,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,Y,alive,9,0,60
T3,5/29/19,PSTR 1 22,PSTR,P1,22,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,Y,alive,17,0,60
T4,NA,PSTR 1 22,PSTR,P1,22,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,Y,dead,60,1,60
T0,12/12/17,PSTR 1 23,PSTR,P1,23,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 1 23,PSTR,P1,23,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 1 23,PSTR,P1,23,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,9,0,60
T3,5/29/19,PSTR 1 23,PSTR,P1,23,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 1 23,PSTR,P1,23,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,dead,60,1,60
T0,12/12/17,PSTR 1 24,PSTR,P1,24,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 1 24,PSTR,P1,24,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 1 24,PSTR,P1,24,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,N,alive,9,0,60
T3,5/29/19,PSTR 1 24,PSTR,P1,24,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 1 24,PSTR,P1,24,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,dead,60,1,60
T0,12/12/17,PSTR 1 25,PSTR,P1,25,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 1 25,PSTR,P1,25,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 1 25,PSTR,P1,25,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,9,0,60
T3,5/29/19,PSTR 1 25,PSTR,P1,25,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 1 25,PSTR,P1,25,OSP1,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,dead,60,1,60
T0,12/11/17,PSTR 1 3,PSTR,P1,3,NSP1,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,60
T1,3/8/18,PSTR 1 3,PSTR,P1,3,NSP1,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,60
