species,flag_ID,flag_color,tag_color,colony_ID,fragment_num,species_code,Transplant_site,Collection_site,Fo_1,Fm_1,Fv_1,FvFm1,Fo_2,Fm_2,Fv_2,FvFm2,Fo_3,Fm_3,Fv_3,FvFm3,PAM_position_sequence
standard 8/7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
SSID,1,purple,lightblue,1,4,SSID14,NS,NS,280,549,269,0.4899817851,513,1086,573,0.5276243094,502,1114,612,0.5493716338,random
SSID,2,green,lightblue,1,5,SSID15,NS,NS,137,261,124,0.4750957854,31,72,41,0.5694444444,55,167,112,0.6706586826,random
SSID,3,orange,green,2,na,na,NS,na,1061,2972,1911,0.6430013459,1169,2882,1713,0.5943789035,1254,2507,1253,0.4998005584,random
SSID,4,neon,orange,3,4,SSID24,NS,NS,195,403,208,0.5161290323,146,325,179,0.5507692308,229,638,409,0.6410658307,random
SSID,5,red,orange,3,6,SSID36,NS,NS,360,727,367,0.5048143054,668,1491,823,0.5519785379,595,1396,801,0.573782235,random
SSID,6,pink,red,4,2,SSID42,NS,NS,650,1567,917,0.5851946394,739,1701,962,0.5655496767,881,1719,838,0.4874927283,random
SSID,7,yellow,green,2,na,na,NS,na,937,2103,1166,0.5544460295,941,1965,1024,0.5211195929,672,1846,1174,0.6359696641,random
SSID,8,blue,green,2,na,na,NS,na,543,1258,715,0.5683624801,443,966,523,0.5414078675,623,1333,710,0.5326331583,random
SSID,9,black,white,5,5,SSID55,NS,NS,1098,2702,1604,0.5936343449,496,1162,666,0.5731497418,503,1280,777,0.60703125,random
SSID,10,white,white,5,4,SSID54,NS,NS,580,2184,1604,0.7344322344,88,193,105,0.5440414508,285,620,335,0.5403225806,random
standard 8/8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
SSID,13,orange,pink,6,23,SSID623,NS,OS,839,2858,2019,0.7064380686,1306,3043,1737,0.5708182714,1020,2928,1908,0.6516393443,random
SSID,20,white,green,2,na,na,NS,na,791,2349,1558,0.6632609621,1171,2814,1643,0.5838663824,648,1257,609,0.4844868735,random
SSID,24,neon,light blue,1,25,SSID125,NS,OS,973,2248,1275,0.5671708185,848,2083,1235,0.5928948632,467,1080,613,0.5675925926,random
SSID,16,pink,light blue,1,23,SSID123,NS,OS,895,2076,1181,0.5688824663,874,2106,1232,0.5849952517,920,2117,1197,0.5654227681,random
SSID,15,red,pink,6,24,SSID624,NS,OS,708,1724,1016,0.5893271462,593,1261,668,0.5297383029,1271,2695,1424,0.5283858998,random
SSID,17,yellow,white,5,24,SSID524,NS,OS,1002,2073,1071,0.516642547,699,1581,882,0.5578747628,929,2200,1271,0.5777272727,random
SSID,11,purple,red,4,23,SSID423,NS,OS,796,1815,1019,0.5614325069,1236,2658,1422,0.5349887133,1039,2592,1553,0.5991512346,random
PSTR,39,black,white,5,5,PSTR55,NS,NS,256,494,238,0.4817813765,127,253,126,0.4980237154,214,392,178,0.4540816327,random
PSTR,32,green,orange,3,5,PSTR35,NS,NS,127,229,102,0.4454148472,123,223,100,0.4484304933,664,1344,680,0.505952381,"top, top, bottom"
PSTR,35,red,red,4,3,PSTR43,NS,NS,71,140,69,0.4928571429,79,141,62,0.4397163121,383,863,480,0.5561993048,top = 0
PSTR,33,orange,orange,3,4,PSTR34,NS,NS,171,382,211,0.5523560209,144,187,43,0.2299465241,239,452,213,0.4712389381,"rim, side, bottom"
PSTR,28,blue,green,2,na,na,NS,na,177,323,146,0.4520123839,128,209,81,0.3875598086,71,138,67,0.4855072464,"rim, bottom, rim; top = 0"
PSTR,31,purple,orange,3,6,PSTR36,NS,NS,216,464,248,0.5344827586,316,716,400,0.5586592179,74,158,84,0.5316455696,"rim, bottom, rim"
PSTR,29,black,green,2,5,PSTR25,NS,NS,54,91,37,0.4065934066,48,87,39,0.4482758621,127,251,124,0.4940239044,"rim, rim, bottom"
PSTR,27,yellow,light blue,1,4,PSTR14,NS,NS,132,241,109,0.4522821577,122,222,100,0.4504504505,449,862,413,0.4791183295,"rim, bottom, bottom"
PSTR,25,red,light blue,1,6,PSTR16,NS,NS,38,55,17,0.3090909091,95,153,58,0.3790849673,193,407,214,0.5257985258,"rim, bottom, bottom"
PSTR,26,pink,light blue,1,5,PSTR15,NS,NS,110,218,108,0.495412844,159,291,132,0.4536082474,371,692,321,0.4638728324,"rim, bottom, bottom"
