"","time","latitude","longitude","analysed_sst","analysis_error","mask","sea_ice_fraction","sst_anomaly"
"1","2002-09-02T09:00:00Z",16.375,-88.125,29.409,0.38,1,NA,-0.377
"2","2002-09-03T09:00:00Z",16.375,-88.125,29.461,0.37,1,NA,-0.179
"3","2002-09-04T09:00:00Z",16.375,-88.125,29.646,0.37,1,NA,-0.027
"4","2002-09-05T09:00:00Z",16.375,-88.125,29.751,0.38,1,NA,0.038
"5","2002-09-06T09:00:00Z",16.375,-88.125,29.802,0.37,1,NA,0.011
"6","2002-09-07T09:00:00Z",16.375,-88.125,29.855,0.37,1,NA,0.046
"7","2002-09-08T09:00:00Z",16.375,-88.125,29.983,0.36,1,NA,0.121
"8","2002-09-09T09:00:00Z",16.375,-88.125,29.842,0.36,1,NA,-0.106
"9","2002-09-10T09:00:00Z",16.375,-88.125,29.52,0.36,1,NA,-0.397
"10","2002-09-11T09:00:00Z",16.375,-88.125,29.688,0.38,1,NA,-0.186
"11","2002-09-12T09:00:00Z",16.375,-88.125,30.061,0.38,1,NA,0.271
"12","2002-09-13T09:00:00Z",16.375,-88.125,29.965,0.37,1,NA,0.024
"13","2002-09-14T09:00:00Z",16.375,-88.125,29.93,0.37,1,NA,-0.006
"14","2002-09-15T09:00:00Z",16.375,-88.125,30.019,0.39,1,NA,0.325
"15","2002-09-16T09:00:00Z",16.375,-88.125,29.871,0.39,1,NA,-0.022
"16","2002-09-17T09:00:00Z",16.375,-88.125,29.769,0.38,1,NA,-0.207
"17","2002-09-18T09:00:00Z",16.375,-88.125,30.096,0.36,1,NA,0.101
"18","2002-09-19T09:00:00Z",16.375,-88.125,30.272,0.35,1,NA,0.432
"19","2002-09-20T09:00:00Z",16.375,-88.125,30.168,0.36,1,NA,0.412
"20","2002-09-21T09:00:00Z",16.375,-88.125,30.066,0.39,1,NA,0.363
"21","2002-09-22T09:00:00Z",16.375,-88.125,29.919,0.41,1,NA,0.351
"22","2002-09-23T09:00:00Z",16.375,-88.125,30.641,0.41,1,NA,1.019
"23","2002-09-24T09:00:00Z",16.375,-88.125,30.35,0.41,1,NA,0.719
